campus_id,campus,report_year,category,family,geography,federal_2025_count,federal_raw_value,federal_status,asr_2026_count,asr_raw_value,asr_status,difference,numeric_comparable,federal_source_file,federal_source_row,federal_source_column,asr_2026_url
122409001,San Diego,2024,statutory_rape,criminal_offenses,residential,0,0,reported_numeric,0,0,reported_numeric,0,True,Residencehallcrime222324.xls,833,STATR24,https://police.sdsu.edu/_resources/files/asr_2026_newdraft.pdf#page=7
122409001,San Diego,2024,statutory_rape,criminal_offenses,oncampus,0,0,reported_numeric,0,0,reported_numeric,0,True,Oncampuscrime222324.xls,833,STATR24,https://police.sdsu.edu/_resources/files/asr_2026_newdraft.pdf#page=7
122409001,San Diego,2024,statutory_rape,criminal_offenses,noncampus,0,0,reported_numeric,0,0,reported_numeric,0,True,Noncampuscrime222324.xls,833,STATR24,https://police.sdsu.edu/_resources/files/asr_2026_newdraft.pdf#page=7
122409001,San Diego,2024,statutory_rape,criminal_offenses,publicproperty,0,0,reported_numeric,0,0,reported_numeric,0,True,Publicpropertycrime222324.xls,833,STATR24,https://police.sdsu.edu/_resources/files/asr_2026_newdraft.pdf#page=7
122409001,San Diego,2023,robbery,criminal_offenses,residential,0,0,reported_numeric,0,0,reported_numeric,0,True,Residencehallcrime222324.xls,833,ROBBE23,https://police.sdsu.edu/_resources/files/asr_2026_newdraft.pdf#page=8
122409001,San Diego,2023,robbery,criminal_offenses,oncampus,1,1,reported_numeric,1,1,reported_numeric,0,True,Oncampuscrime222324.xls,833,ROBBE23,https://police.sdsu.edu/_resources/files/asr_2026_newdraft.pdf#page=8
122409001,San Diego,2023,robbery,criminal_offenses,noncampus,0,0,reported_numeric,0,0,reported_numeric,0,True,Noncampuscrime222324.xls,833,ROBBE23,https://police.sdsu.edu/_resources/files/asr_2026_newdraft.pdf#page=8
122409001,San Diego,2023,robbery,criminal_offenses,publicproperty,2,2,reported_numeric,2,2,reported_numeric,0,True,Publicpropertycrime222324.xls,833,ROBBE23,https://police.sdsu.edu/_resources/files/asr_2026_newdraft.pdf#page=8
122409001,San Diego,2024,robbery,criminal_offenses,residential,0,0,reported_numeric,0,0,reported_numeric,0,True,Residencehallcrime222324.xls,833,ROBBE24,https://police.sdsu.edu/_resources/files/asr_2026_newdraft.pdf#page=8
122409001,San Diego,2024,robbery,criminal_offenses,oncampus,2,2,reported_numeric,2,2,reported_numeric,0,True,Oncampuscrime222324.xls,833,ROBBE24,https://police.sdsu.edu/_resources/files/asr_2026_newdraft.pdf#page=8
122409001,San Diego,2024,robbery,criminal_offenses,noncampus,0,0,reported_numeric,0,0,reported_numeric,0,True,Noncampuscrime222324.xls,833,ROBBE24,https://police.sdsu.edu/_resources/files/asr_2026_newdraft.pdf#page=8
122409001,San Diego,2024,robbery,criminal_offenses,publicproperty,2,2,reported_numeric,2,2,reported_numeric,0,True,Publicpropertycrime222324.xls,833,ROBBE24,https://police.sdsu.edu/_resources/files/asr_2026_newdraft.pdf#page=8
122409001,San Diego,2023,aggravated_assault,criminal_offenses,residential,2,2,reported_numeric,2,2,reported_numeric,0,True,Residencehallcrime222324.xls,833,AGG_A23,https://police.sdsu.edu/_resources/files/asr_2026_newdraft.pdf#page=8
122409001,San Diego,2023,aggravated_assault,criminal_offenses,oncampus,4,4,reported_numeric,4,4,reported_numeric,0,True,Oncampuscrime222324.xls,833,AGG_A23,https://police.sdsu.edu/_resources/files/asr_2026_newdraft.pdf#page=8
122409001,San Diego,2023,aggravated_assault,criminal_offenses,noncampus,2,2,reported_numeric,2,2,reported_numeric,0,True,Noncampuscrime222324.xls,833,AGG_A23,https://police.sdsu.edu/_resources/files/asr_2026_newdraft.pdf#page=8
122409001,San Diego,2023,aggravated_assault,criminal_offenses,publicproperty,1,1,reported_numeric,1,1,reported_numeric,0,True,Publicpropertycrime222324.xls,833,AGG_A23,https://police.sdsu.edu/_resources/files/asr_2026_newdraft.pdf#page=8
122409001,San Diego,2024,aggravated_assault,criminal_offenses,residential,1,1,reported_numeric,1,1,reported_numeric,0,True,Residencehallcrime222324.xls,833,AGG_A24,https://police.sdsu.edu/_resources/files/asr_2026_newdraft.pdf#page=8
122409001,San Diego,2024,aggravated_assault,criminal_offenses,oncampus,14,14,reported_numeric,14,14,reported_numeric,0,True,Oncampuscrime222324.xls,833,AGG_A24,https://police.sdsu.edu/_resources/files/asr_2026_newdraft.pdf#page=8
122409001,San Diego,2024,aggravated_assault,criminal_offenses,noncampus,4,4,reported_numeric,4,4,reported_numeric,0,True,Noncampuscrime222324.xls,833,AGG_A24,https://police.sdsu.edu/_resources/files/asr_2026_newdraft.pdf#page=8
122409001,San Diego,2024,aggravated_assault,criminal_offenses,publicproperty,3,3,reported_numeric,3,3,reported_numeric,0,True,Publicpropertycrime222324.xls,833,AGG_A24,https://police.sdsu.edu/_resources/files/asr_2026_newdraft.pdf#page=8
