UNITID_P,INSTNM,OPEID,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,MURD22,NEG_M22,RAPE22,FONDL22,INCES22,STATR22,ROBBE22,AGG_A22,BURGLA22,VEHIC22,ARSON22,MURD23,NEG_M23,RAPE23,FONDL23,INCES23,STATR23,ROBBE23,AGG_A23,BURGLA23,VEHIC23,ARSON23,MURD24,NEG_M24,RAPE24,FONDL24,INCES24,STATR24,ROBBE24,AGG_A24,BURGLA24,VEHIC24,ARSON24,FILTER22,FILTER23,FILTER24
134130023,University of Florida,00153500  ,North Florida Research and Education Center (Marianna),3925 Highway 71,Marianna,FL,32446,1,"Public, 4-year or above",24863,31448,56311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
134130024,University of Florida,00153500  ,Plant Science Research and Education Unit ,2556 Co Hwy 318,Citra,FL,32113,1,"Public, 4-year or above",24863,31448,56311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
134130025,University of Florida,00153500  ,Range Cattle Research and Education Center ,3401 Experiment Station Road,Ona,FL,33865,1,"Public, 4-year or above",24863,31448,56311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
134130026,University of Florida,00153500  ,Southwest Florida Research and Education Center ,2685 Hwy 29 N,Immokalee,FL,34142,1,"Public, 4-year or above",24863,31448,56311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
134130027,University of Florida,00153500  ,Tropical Aquaculture Laboratory ,1408 24th St SE,Ruskin,FL,33570,1,"Public, 4-year or above",24863,31448,56311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
134130028,University of Florida,00153500  ,Tropical Research and Education Center ,18905 SW 280th St,Homestead,FL,33031,1,"Public, 4-year or above",24863,31448,56311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
134130029,University of Florida,00153500  ,West Florida Research and Education Center (Milton),"5988 Hwy 90, Bldg. 4900",Milton,FL,32583,1,"Public, 4-year or above",24863,31448,56311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
134130030,University of Florida,00153500  ,West Florida Research and Education Center (Jay),4253 Experiment Dr,Jay,FL,32565,1,"Public, 4-year or above",24863,31448,56311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
134130031,University of Florida,00153500  ,Hastings Demonstration Unit,595 E St. Johns Ave.,Hastings,FL,321450728,1,"Public, 4-year or above",24863,31448,56311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
134130032,University of Florida,00153500  ,UF MBA South Florida Campus,"2900 Monarch Lakes Boulevard, Suite 102",Miramar,FL,33027,1,"Public, 4-year or above",24863,31448,56311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
134130033,University of Florida,00153500  ,Hialeah Dental Center Campus,750 E 25th St,Hialeah,FL,33013,1,"Public, 4-year or above",24863,31448,56311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
134130034,University of Florida,00153500  ,NCEF Naples Pediatric Dental Center Campus,"7505 Grand Lely Dr, Bld L",Naples,FL,34113,1,"Public, 4-year or above",24863,31448,56311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
134130035,University of Florida,00153500  ,St. Petersburg Dental Clinic,"C.W. Bill Young University Partnership Building, 9200 113th St",Seminole,FL,33772,1,"Public, 4-year or above",24863,31448,56311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
134130036,University of Florida,00153500  ,IFAS Equine Science Center,2655 NW 100th St,Ocala,FL,34475,1,"Public, 4-year or above",24863,31448,56311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
134130037,University of Florida,00153500  ,IFAS Horse Teaching Unit,1934 SW 63rd Ave.,Gainesville,FL,32608,1,"Public, 4-year or above",24863,31448,56311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
134130038,University of Florida,00153500  ,UF IFAS CALS at Plant City,1200 N Park Rd,Plant City,FL,33563,1,"Public, 4-year or above",24863,31448,56311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
134130039,University of Florida,00153500  ,The Herbert Wertheim UF Scripps Institute for Biomedical Innovation & Technology,120 Scripps Way,Jupiter,FL,33458,1,"Public, 4-year or above",24863,31448,56311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1
134130040,University of Florida,00153500  ,JaxLab,256 E. Church St.,Jacksonville,FL,32202,1,"Public, 4-year or above",24863,31448,56311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1
139755001,Georgia Institute of Technology-Main Campus,00156900  ,Atlanta (Main) Campus,225 North Avenue NW,Atlanta,GA,30332,1,"Public, 4-year or above",36169,17194,53363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
139755002,Georgia Institute of Technology-Main Campus,00156900  ,Georgia Tech Savannah,210 Technology Circle,Savannah,GA,31407,1,"Public, 4-year or above",36169,17194,53363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
139755003,Georgia Institute of Technology-Main Campus,00156900  ,Georgia Tech Europe,2 Rue Marconi,Metz,,57070,1,"Public, 4-year or above",36169,17194,53363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
139755004,Georgia Institute of Technology-Main Campus,00156900  ,Georgia Tech Shenzhen,"6F, Building 6B, International Innovation Valley, Dashi 1st Rd",Shenzhen,,518055,1,"Public, 4-year or above",36169,17194,53363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
144050001,University of Chicago,00177400  ,Main Campus,5801 S ELLIS AVE,CHICAGO,IL,60637,2,"Private nonprofit, 4-year or above",10087,8479,18566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
144050002,University of Chicago,00177400  ,Gleacher Center,450 North Cityfront Plaza Drive,Chicago,IL,60611,2,"Private nonprofit, 4-year or above",10087,8479,18566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
144050003,University of Chicago,00177400  ,Center in Paris,41 Rue De Grand Moulins,Paris,,75013,2,"Private nonprofit, 4-year or above",10087,8479,18566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
144050005,University of Chicago,00177400  ,Chicago Booth Europe Campus,One Bartholomew Close - Barts Square,London,,EC1A 7BL,2,"Private nonprofit, 4-year or above",10087,8479,18566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
144050006,University of Chicago,00177400  ,Center in Beijing,"20th Floor, Culture Plaza, 59A Zhong Guan Cun Street, Haidian District",Beijing,,100872,2,"Private nonprofit, 4-year or above",10087,8479,18566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
144050008,University of Chicago,00177400  ,The University of Chicago Francis and Rose Yuen Campus in Hong Kong,"168 Victoria Road, Mount Davis",Hong Kong,,,2,"Private nonprofit, 4-year or above",10087,8479,18566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
144050009,University of Chicago,00177400  ,University of Chicago-MBL Campus,7 MBL Street,Woods Hole,MA,02543,2,"Private nonprofit, 4-year or above",10087,8479,18566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
144050010,University of Chicago,00177400  ,UChicago Center in Dehli,"DLF Capitol Point, Baba Kharak Singh Marg",New Delhi,,110001,2,"Private nonprofit, 4-year or above",10087,8479,18566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
145637001,University of Illinois Urbana-Champaign,00177500  ,Main Campus,601 E John Street,Champaign,IL,61820,1,"Public, 4-year or above",31825,27413,59238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
145637003,University of Illinois Urbana-Champaign,00177500  ,Illini Center,200 S. Wacker Dr.,Chicago,IL,60606,1,"Public, 4-year or above",31825,27413,59238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
147767001,Northwestern University,00173900  ,Main Campus,633 CLARK ST,EVANSTON,IL,602081320,2,"Private nonprofit, 4-year or above",10696,13160,23856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
147767002,Northwestern University,00173900  ,Chicago Campus,710 N. Lake Shore Drive,Chicago,IL,606113078,2,"Private nonprofit, 4-year or above",10696,13160,23856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
147767003,Northwestern University,00173900  ,Miami,"95 Merrick Way, Suite 105",Coral Gables,FL,33134,2,"Private nonprofit, 4-year or above",10696,13160,23856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
147767004,Northwestern University,00173900  ,Washington D.C. Campus,1301 K Street NW,Washington,DC,20005,2,"Private nonprofit, 4-year or above",10696,13160,23856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
147767005,Northwestern University,00173900  ,"Education City, Qatar","Northwestern University in Qatar, P.O. Box 34102",Doha,,,2,"Private nonprofit, 4-year or above",10696,13160,23856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
147767006,Northwestern University,00173900  ,San Francisco,44 Montgomery St.,San Francisco,CA,94104,2,"Private nonprofit, 4-year or above",10696,13160,23856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
152080001,University of Notre Dame,00184000  ,Main Campus,204 Hammes Mowbray Hall,Notre Dame,IN,46556,2,"Private nonprofit, 4-year or above",6845,6197,13042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
152080002,University of Notre Dame,00184000  ,London Campus,1 - 4 Suffolk Street,London,,SW1Y 4HG,2,"Private nonprofit, 4-year or above",6845,6197,13042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
152080003,University of Notre Dame,00184000  ,Dublin Campus,58 Merrion Square South,Dublin 2,,,2,"Private nonprofit, 4-year or above",6845,6197,13042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
152080004,University of Notre Dame,00184000  ,Rome Campus,Via Ostilia 15,Rome,,00184,2,"Private nonprofit, 4-year or above",6845,6197,13042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
152080005,University of Notre Dame,00184000  ,Jerusalem Campus,The University of Notre Dame at Tantur,Jerusalem,,,2,"Private nonprofit, 4-year or above",6845,6197,13042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
152080006,University of Notre Dame,00184000  ,UNDERC - East,7645 Notre Dame Lane,Land O' Lakes,WI,54540,2,"Private nonprofit, 4-year or above",6845,6197,13042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
152080007,University of Notre Dame,00184000  ,Chicago Campus,224 South Michigan Street,Chicago,IL,60604,2,"Private nonprofit, 4-year or above",6845,6197,13042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
162928001,Johns Hopkins University,00207700  ,"JHU  HOMEWOOD  CAMPUS, BALTIMORE, MARYLAND",3400 N CHARLES ST,BALTIMORE,MD,212182688,2,"Private nonprofit, 4-year or above",14243,15967,30210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
162928002,Johns Hopkins University,00207700  ,"Johns Hopkins Medical Institutions, Baltimore, Md.",550 N. Broadway,Baltimore,MD,21205,2,"Private nonprofit, 4-year or above",14243,15967,30210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
162928003,Johns Hopkins University,00207700  ,"Harbor East Campus, Baltimore, Maryland",100 International Drive,Baltimore,MD,212014649,2,"Private nonprofit, 4-year or above",14243,15967,30210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
162928006,Johns Hopkins University,00207700  ,"JHU Applied Physics Laboratory, Maryland",11100 Johns Hopkins Road,Laurel,MD,207236005,2,"Private nonprofit, 4-year or above",14243,15967,30210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
162928007,Johns Hopkins University,00207700  ,Hopkins Bloomberg Center,555 Pennsylvania Ave,Washington,DC,20001,2,"Private nonprofit, 4-year or above",14243,15967,30210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
162928009,Johns Hopkins University,00207700  ,"JHU SAIS Europe, Bologna, Italy","Via Belmeloro 11,  40126",Bologna,,,2,"Private nonprofit, 4-year or above",14243,15967,30210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
162928011,Johns Hopkins University,00207700  ,Peabody Institute of Johns Hopkins University,1 East Mt. Vernon Place,Baltimore,MD,212022308,2,"Private nonprofit, 4-year or above",14243,15967,30210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
162928012,Johns Hopkins University,00207700  ,JHU - Nanjing,"162 Shanghai Rd, Gulou District",Nanjing,,210008,2,"Private nonprofit, 4-year or above",14243,15967,30210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
162928014,Johns Hopkins University,00207700  ,"The Johns Hopkins University Public Policy Center- Barcelona, Spain","Universitat Pompeu Fabra- Ciutadella Campus Calle Ramon Trias Fargas, 25-27, Building Merce Rodoreda 24",Barcelona,,08005,2,"Private nonprofit, 4-year or above",14243,15967,30210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
