unitid,campus_id,label,branch,year,source_year_filter,on_campus_availability,housing_availability,current_api_survey_year,current_api_country,current_api_is_us,current_api_housing_declaration,historical_blank_interpretation,source_url
122409,122409001,San Diego State,Main Campus,2024,1,reported_numeric,reported_numeric,2024,United States,True,"This campus provides On-campus Student Housing Facilities.
On-campus Student Housing Facilities statistics are a subset of On-Campus statistics.",unresolved; no zero imputation,https://ope.ed.gov/campussafety/api/campus/122409001
122409,122409002,San Diego State,Imperial Valley Campus,2022,1,reported_numeric,blank_source_cell,2024,United States,True,This institution does not provide On-campus Student Housing Facilities.,unresolved; no zero imputation,https://ope.ed.gov/campussafety/api/campus/122409002
122409,122409002,San Diego State,Imperial Valley Campus,2023,1,reported_numeric,blank_source_cell,2024,United States,True,This institution does not provide On-campus Student Housing Facilities.,unresolved; no zero imputation,https://ope.ed.gov/campussafety/api/campus/122409002
122409,122409002,San Diego State,Imperial Valley Campus,2024,1,reported_numeric,blank_source_cell,2024,United States,True,This institution does not provide On-campus Student Housing Facilities.,unresolved; no zero imputation,https://ope.ed.gov/campussafety/api/campus/122409002
122409,122409003,San Diego State,San Diego State University Georgia,2022,1,reported_numeric,blank_source_cell,2024,Georgia,False,This institution does not provide On-campus Student Housing Facilities.,unresolved; no zero imputation,https://ope.ed.gov/campussafety/api/campus/122409003
122409,122409003,San Diego State,San Diego State University Georgia,2023,1,reported_numeric,blank_source_cell,2024,Georgia,False,This institution does not provide On-campus Student Housing Facilities.,unresolved; no zero imputation,https://ope.ed.gov/campussafety/api/campus/122409003
122409,122409003,San Diego State,San Diego State University Georgia,2024,1,reported_numeric,blank_source_cell,2024,Georgia,False,This institution does not provide On-campus Student Housing Facilities.,unresolved; no zero imputation,https://ope.ed.gov/campussafety/api/campus/122409003
123961,123961001,USC,University Park Campus,2022,1,reported_numeric,reported_numeric,2024,United States,True,"This campus provides On-campus Student Housing Facilities.
On-campus Student Housing Facilities statistics are a subset of On-Campus statistics.",unresolved; no zero imputation,https://ope.ed.gov/campussafety/api/campus/123961001
123961,123961001,USC,University Park Campus,2023,1,reported_numeric,reported_numeric,2024,United States,True,"This campus provides On-campus Student Housing Facilities.
On-campus Student Housing Facilities statistics are a subset of On-Campus statistics.",unresolved; no zero imputation,https://ope.ed.gov/campussafety/api/campus/123961001
123961,123961001,USC,University Park Campus,2024,1,reported_numeric,reported_numeric,2024,United States,True,"This campus provides On-campus Student Housing Facilities.
On-campus Student Housing Facilities statistics are a subset of On-Campus statistics.",unresolved; no zero imputation,https://ope.ed.gov/campussafety/api/campus/123961001
123961,123961002,USC,Health Sciences Campus,2022,1,reported_numeric,reported_numeric,2024,United States,True,"This campus provides On-campus Student Housing Facilities.
On-campus Student Housing Facilities statistics are a subset of On-Campus statistics.",unresolved; no zero imputation,https://ope.ed.gov/campussafety/api/campus/123961002
123961,123961002,USC,Health Sciences Campus,2023,1,reported_numeric,reported_numeric,2024,United States,True,"This campus provides On-campus Student Housing Facilities.
On-campus Student Housing Facilities statistics are a subset of On-Campus statistics.",unresolved; no zero imputation,https://ope.ed.gov/campussafety/api/campus/123961002
123961,123961002,USC,Health Sciences Campus,2024,1,reported_numeric,reported_numeric,2024,United States,True,"This campus provides On-campus Student Housing Facilities.
On-campus Student Housing Facilities statistics are a subset of On-Campus statistics.",unresolved; no zero imputation,https://ope.ed.gov/campussafety/api/campus/123961002
123961,123961003,USC,Catalina Island,2022,1,reported_numeric,reported_numeric,2024,United States,True,"This campus provides On-campus Student Housing Facilities.
On-campus Student Housing Facilities statistics are a subset of On-Campus statistics.",unresolved; no zero imputation,https://ope.ed.gov/campussafety/api/campus/123961003
123961,123961003,USC,Catalina Island,2023,1,reported_numeric,reported_numeric,2024,United States,True,"This campus provides On-campus Student Housing Facilities.
On-campus Student Housing Facilities statistics are a subset of On-Campus statistics.",unresolved; no zero imputation,https://ope.ed.gov/campussafety/api/campus/123961003
123961,123961003,USC,Catalina Island,2024,1,reported_numeric,reported_numeric,2024,United States,True,"This campus provides On-campus Student Housing Facilities.
On-campus Student Housing Facilities statistics are a subset of On-Campus statistics.",unresolved; no zero imputation,https://ope.ed.gov/campussafety/api/campus/123961003
123961,123961005,USC,Sacramento Center,2022,1,reported_numeric,blank_source_cell,2024,United States,True,This institution does not provide On-campus Student Housing Facilities.,unresolved; no zero imputation,https://ope.ed.gov/campussafety/api/campus/123961005
