campus_id,year,category,geography,federal_count,current_report_count,comparison,current_pdf_page,federal_source_file,federal_source_row,federal_source_column
198419001,2023,burglary,publicproperty,0,0,numeric_agreement,41,Publicpropertycrime222324.xls,4617,BURGLA23
198419001,2024,burglary,publicproperty,0,0,numeric_agreement,41,Publicpropertycrime222324.xls,4617,BURGLA24
198419001,2022,motor_vehicle_theft,oncampus,14,14,numeric_agreement,41,Oncampuscrime222324.xls,4617,VEHIC22
198419001,2023,motor_vehicle_theft,oncampus,36,36,numeric_agreement,41,Oncampuscrime222324.xls,4617,VEHIC23
198419001,2024,motor_vehicle_theft,oncampus,36,36,numeric_agreement,41,Oncampuscrime222324.xls,4617,VEHIC24
198419001,2022,motor_vehicle_theft,residential,0,0,numeric_agreement,41,Residencehallcrime222324.xls,4617,VEHIC22
198419001,2023,motor_vehicle_theft,residential,0,0,numeric_agreement,41,Residencehallcrime222324.xls,4617,VEHIC23
198419001,2024,motor_vehicle_theft,residential,1,1,numeric_agreement,41,Residencehallcrime222324.xls,4617,VEHIC24
198419001,2022,motor_vehicle_theft,noncampus,5,5,numeric_agreement,41,Noncampuscrime222324.xls,4617,VEHIC22
198419001,2023,motor_vehicle_theft,noncampus,3,3,numeric_agreement,41,Noncampuscrime222324.xls,4617,VEHIC23
198419001,2024,motor_vehicle_theft,noncampus,4,4,numeric_agreement,41,Noncampuscrime222324.xls,4617,VEHIC24
198419001,2022,motor_vehicle_theft,publicproperty,0,0,numeric_agreement,41,Publicpropertycrime222324.xls,4617,VEHIC22
198419001,2023,motor_vehicle_theft,publicproperty,0,0,numeric_agreement,41,Publicpropertycrime222324.xls,4617,VEHIC23
198419001,2024,motor_vehicle_theft,publicproperty,2,2,numeric_agreement,41,Publicpropertycrime222324.xls,4617,VEHIC24
198419001,2022,arson,oncampus,3,3,numeric_agreement,41,Oncampuscrime222324.xls,4617,ARSON22
198419001,2023,arson,oncampus,0,0,numeric_agreement,41,Oncampuscrime222324.xls,4617,ARSON23
198419001,2024,arson,oncampus,1,1,numeric_agreement,41,Oncampuscrime222324.xls,4617,ARSON24
