Violation Type,Violation Section,Violation Description,classification,Charge Level,charge_rows,distinct_source_ids
VC,12500(A),DRVG WITHOUT VALID DRVR'S LIC (I),other,MISDEMEANOR,379,378
HS,11350(A),POSS NARCOTIC CONTROLLED SUBS (F),other,FELONY,372,370
PC,4573.6(A),POSS CONTROLLED SUBS IN PRISON/JAIL (F),other,FELONY,352,342
VC,16028A,FAIL TO PROVE FIN RESPONSIBILITY:PEACE OFCR REQUEST (I),other,INFRACTION,346,346
PC,236,FALSE IMPRISON W/VIOL/MENACE/FRAUD/DECEIT (F),ambiguous_related,FELONY,344,343
PC,485,APPROPRIATE LOST PROPERTY ($950 OR LESS) (M),other,MISDEMEANOR,342,342
HS,11370.1(A),POSS CONT SUBS WHILE ARMED W/LOADED FIREARM (F),other,FELONY,340,334
PC,290.018(B),FAIL REGISTER WITH FELONY SEX OFFENDER PRIOR CONVICTION (F),other,FELONY,337,337
PC,591.5,OBSTRUCT USE OF ANY WIRELESS COMMUNICATION DEVICE (M),ambiguous_related,MISDEMEANOR,335,335
PC,368(B)(1),LIKELY TO CAUSE HARM/DEATH OF ELDER /DEPENDENT ADULT (F),ambiguous_related,FELONY,332,332
PC,368C,ELDER ABUSE/NEGLECT (M),ambiguous_related,MISDEMEANOR,325,325
PC,488,PETTY THEFT(All Other Larceny) (M),other,MISDEMEANOR,320,317
VC,23153(A),DUI ALCOHOL:CAUSING BODILY INJURY (F),other,FELONY,307,307
PC,25850(A),CARRY LOADED FIREARM ON/IN PERSON/VEHICLE:PUBLIC PLACE (M),other,MISDEMEANOR,304,299
PC,1203.2(A),PROBATION VIOLATION:REARREST/REVOKE,other,OTHER,304,299
HS,11377(A),POSS CONTROLLED SUBS (F),other,FELONY,286,280
PC,25850(C)(6),CARRY LOADED HANDGUN:NOT REGISTERED OWNER (F),other,FELONY,282,274
PC,530.5(C)(2),USE OTHERS ID WITH INTENT DEFRAUD:WITH PRIOR CONVICTION (F),other,FELONY,279,275
HS,11359(B),POSSESS MARIJUANA FOR SALE (M),other,MISDEMEANOR,274,274
HS,11395(B)(1),TREATMENT-MANDATED FELONY HARD DRUGS W/2 OR MORE PRIOR CONVICTIONS (F),other,FELONY,266,260
PC,21810,MANUFACTURE/SALE/POSSESS/ETC METAL KNUCKLES (F),other,FELONY,265,264
