Violation Type,Violation Section,Violation Description,classification,Charge Level,charge_rows,distinct_source_ids
PC,490.4(A)(1),THEFT OF MERCHANDISE W/ INTENT TO SELL/EXCHANGE (M),other,MISDEMEANOR,11,11
PC,243.2A,BATTERY ON PERSON ON SCHOOL/HOSPITAL/PARK PROPERTY (M),ambiguous_related,MISDEMEANOR,11,11
HS,11370.4(A)1,HEROIN OR COCAINE OVER 1KG (BAIL+),other,OTHER,11,9
PC,26350(A)(2),CARRY/EXPOSE UNLOADED HANDGUN IN PUBLIC OR A VEHICLE (M),other,MISDEMEANOR,11,11
PC,266I(B),PANDERING:OTHER PERSON OVER 16 (F),other,FELONY,11,11
PC,25800(A),CARRY LOADED FIREARM WITH INTENT TO COMMIT A FELONY (F),other,FELONY,11,11
PC,666.1(A)(1),GRAND THEFT (ALL OTHER LARCENY) W/2+ PRIOR CONVICTIONS (F),other,FELONY,11,10
HS,11378,POSS CONTROLLED SUBS FOR SALE,other,FEL,11,11
HS,11370.9(A),RECV/CONCEAL VALUABLES FROM CNTL SUBS PROCEEDS (F),other,FELONY,10,10
VC,20002(B),HIT AND RUN:RUNAWAY VEH:PROP DAMAGE (M),other,MISDEMEANOR,10,10
VC,23578,EXCESSIVE BLOOD ALC OR REFUSAL TO TAKE CHEMICAL TESTING: ENHANCED PENALTIES,other,INFRACTION,10,10
PC,245(A)(1),ASSAULT W/DEADLY WEAPON:NOT F/ARM,ambiguous_related,FEL,10,10
PC,4573,BRING CONTROLLED SUBS INTO PRISON/JAIL,other,FELONY,10,10
PC,136.1C1,PREVENT/DISSUADE WIT VIC BY THREAT/FORCE (F),ambiguous_related,FELONY,10,10
PC,455,ATTEMPT OR AID ARSON (F),other,FELONY,10,10
PC,25850(C)(5),CARRY LOADED FIREARM WHILE PROHIBITED:SPEC PRIOR CONVICTIONS (F),other,FELONY,10,10
PC,827.1,MISD CITE AND RELEASE ON ACTIVE WARRANT,other,MIS,10,10
PC,1203.2(A),PROBATION VIOLATION:REARREST/REVOKE,other,OTH,10,10
PC,182(A)(4),CONSPIRACY:DEFRAUD PERS (F),other,FELONY,10,10
CO,73.108,"SHALL NOT CAMP IN PARK, EXCEPT BY PERMIT WHEN AUTHORIZED (M)",other,MISDEMEANOR,10,9
HS,11366.5(A),RENT/ETC FOR STORAGE/SALE OF CONT SUBS (F),other,FELONY,10,9
PC,640(C)(1),FAIL TO PAY FARE FOR PUBLIC TRANSIT SYSTEM (I),other,INFRACTION,10,10
MC,09.36.020,"OBSTRUCT STREET, SIDEWALK, OR PUBLIC PLACE (M)",other,MISDEMEANOR,10,10
PC,273A(A),WILLFUL CRUELTY TO CHILD: WITH INJURY/DEATH,ambiguous_related,FEL,10,10
VC,10751(A),BUY/SELL/POSS VEH WITH ALTERED NUMBER (M),other,MISDEMEANOR,10,10
PC,530.5(C)(2),USE OTHERS ID WITH INTENT DEFRAUD:WITH PRIOR CONVICTION (M),other,MISDEMEANOR,10,10
PC,288.7(A),INTERCOURSE:VICTIM UNDER 10 YEARS OF AGE (F),ambiguous_related,FELONY,10,10
PC,287(C)(2)(A),ORAL COPULATION W/ FORCE OR FEAR (F),ambiguous_related,FELONY,10,10
PC,29825(A),PROHIBITED BY COURT ORDERS:PURCHASE/ETC FIREARM (F),ambiguous_related,FELONY,10,10
PC,529(A),FALSE PERSONATION OF ANOTHER:SPEC CIRC (M),other,MISDEMEANOR,10,10
PC,29825(B),PROHIBITED OWN /POSSESS FIREARM DENIED BY COURT ORDERS (M),ambiguous_related,MISDEMEANOR,10,10
PC,529.5(C),POSS DECEPTIVE GOVERNMENT IDENT/DRVRS LIC (M),other,MISDEMEANOR,10,10
PC,487(D),GRAND THEFT:FIREARM (THEFT FROM BUILDING) (F),other,FELONY,10,8
PC,498(B)(1),THEFT OF UTILITY SERVICES (M),other,MISDEMEANOR,10,10
PC,25400(C)(2),CARRY CONCEALED STOLEN WEAPON (F),other,FELONY,10,9
PC,487(C),GRAND THEFT FROM PERS (Purse-Snatching) (F),other,FELONY,9,9
PC,368C,ELDER ABUSE/NEGLECT,ambiguous_related,MISDEMEANOR,9,9
PC,459.5,BURGLARY (SHOPLIFTING) (M),other,MISDEMEANOR,9,9
HS,11351,POSSESS/PURCHASE FOR SALE NARCOTIC/CONTROLLED SUBSTANCE,other,FELONY,9,7
PC,246.3(B),DISCHARGE BB DEVICE IN GROSSLY NEGLIGENT MANNER (M),ambiguous_related,MISDEMEANOR,9,9
ZZ,VIOL PROB,VIOLATION PROBATION/FELONY,other,FELONY,9,9
PC,136.1(A)(2),ATT TO PREVENT/DISSUADE VIC/WIT (F),ambiguous_related,FELONY,9,9
PC,21310,CARRY CONCEALED DIRK OR DAGGER,other,FELONY,9,9
PC,490.4 (A)(1),THEFT OF MERCHANDISE W/ INTENT TO SELL/EXCHANGE (M),other,MISDEMEANOR,9,9
MC,9.04.040,LITTERING/DISTRIBUTING FLYERS IN CITY (I),other,INFRACTION,9,3
VC,23104,RECKLESS DRIVING W/INJURY (M),other,MISDEMEANOR,9,9
VC,23105A,RECKLESS DRIVING:SPECIFIED INJURIES (F),other,FELONY,9,9
PC,530.5(C)(3),POSSESS ID OF 10 OR MORE PERSONS WITH INTENT TO DEFRAUD (M),other,MISDEMEANOR,9,9
PC,600(B),WILLFULLY INTERFERE ETC PEACE OFCRS ANIMAL (M),other,MISDEMEANOR,9,9
PC,647(A),SOLICIT LEWD ACT IN PUBLC (M),other,MISDEMEANOR,9,8
MC,10.11.040,SOCIAL HOST - PERMIT MINOR TO CONSUME ALCOHOL OR ILLEGAL DRUGS AT PARTIES (M),other,INFRACTION,9,9
PC,647(C),DISORD CONDUCT:BEGGING (M),other,MISDEMEANOR,9,9
MC,12.08.010,PARK AND RECREATIONAL AREA USE REGULATIONS,other,INFRACTION,9,9
HS,11370.9(B),CONCEAL/PROFIT:CONTROLLED SUBSTANCE (F),other,FELONY,9,9
PC,25400(A)(3),CARRY CONCEALED WEAPON IN VEHICLE:OCCUPANT (M,other,MISDEMEANOR,9,9
VC,10501(A),FALSE REPORT OF VEH THEFT WITH INTENT TO DECEIVE (M),other,MISDEMEANOR,9,9
US,18473,POSSESS/ETC COUNTERFEIT MONEY/ETC (F),other,FELONY,9,9
PC,666,PETTY THEFT W/PR JAIL TERM (Shoplifting) (F),other,FELONY,9,9
VC,20002(A),HIT AND RUN:PROP DAMAGE,other,MIS,9,9
VC,21651(A)1,"DRIVE OVER, UPON, OR ACROSS DIVIDING SECTION OF HIGHWAY (I)",other,INFRACTION,9,8
PC,261.5(D),UNL SEXUAL INTERCOURSE W/MINOR:PERP 21+ VIC -16 (F),ambiguous_related,FELONY,9,9
PC,236.1(C),HUMAN TRAFFICKING OF VICTIM UNDER 18 YEARS OF AGE (F),ambiguous_related,FELONY,9,8
PC,452B,CAUSING FIRE OF INHABITED STRUCTURE/PROPERTY (F),other,FELONY,9,9
PC,4532(A)(1),ESCAPE JAIL/ETC WHILE CHARGED/ETC W MISDEMEANOR:W/O FORCE (M),other,FELONY,9,9
VC,4000(A)(1),EXPIRED REGISTRATION,other,INFRACTION,9,8
PC,244,ASSAULT WITH CAUSTIC CHEMICAL (F),ambiguous_related,FELONY,9,9
PC,244.5B,ASSAULT WITH STUN GUN/TASER (F),ambiguous_related,MISDEMEANOR,8,8
PC,245(D)(1),ASSAULT W/FIREARM ON PEACE OFFICER/FIREFIGHTER (F),ambiguous_related,FELONY,8,8
VC,24603B,IMPROPER MOUNTING OF STOPLAMPS (I),other,INFRACTION,8,8
PC,396(B),PRICE GOUGING:CONSUMER GOODS:STATE/LOCAL EMERG (M),other,MISDEMEANOR,8,8
HS,11352(A),TRANS/SELL NARCOTIC/CONTROLLED SUBS,other,FEL,8,8
PC,261(A)(4),RAPE:VICTIM WAS UNCONSCIOUS OR ASLEEP (F),ambiguous_related,FELONY,8,8
VC,20001(B)(1),HIT AND RUN RESULTING IN INJURY(IBR 13A),other,FELONY,8,8
PC,243(A),BATTERY ON PERSON,ambiguous_related,MIS,8,8
PC,648,MAKE/CIRCULATE UNAUTH PAPER MONEY (M),other,MISDEMEANOR,8,7
PC,247.5,DISCHARGE LASER AT OCCUPIED AIRCRAFT (F),other,FELONY,8,8
PC,243.4(A),SEXUAL BATTERY (F),ambiguous_related,FELONY,8,8
PC,311.11(A),POSSESS/ETC OBSCENE MATTER OF MINOR IN SEXUAL ACT (F),other,FELONY,8,8
VC,23154(A),OPERATE MOTOR VEHICLE W/0.01% OR MORE BAC WHILE ON PROBATION FOR DUI,other,INFRACTION,8,8
PC,191.5A,GROSS VEHICULAR MANSLAUGHTER WHILE INTOXICATED (F),other,FELONY,8,8
PC,243.3,BATTERY ON TRANSPORTATION PERSONNEL/PASSENGER (M),ambiguous_related,MISDEMEANOR,8,8
PC,243.4(A),SEXUAL BATT BY RESTRAINT (F),ambiguous_related,FELONY,8,8
VC,23154(A),OPERATE MOTOR VEHICLE W/0.01% OR MORE BAC WHILE ON PROBATION FOR DUI,other,INF,8,8
VC,21461A,TRAFFIC CONTROL DEV:DRVR FAILURE TO OBEY (I),other,INFRACTION,8,8
VC,21658A,LANE USAGE:UNSAFE LANE CHANGE (I),other,INFRACTION,8,8
PC,273.5A,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,core_dv,FELONY,8,8
PC,186.10(A),MONEY LAUNDERING (F),other,FELONY,8,8
PC,529(A)(3),PERSONATE TO MAKE OTHER LIABLE (M),other,MISDEMEANOR,8,8
PC,530.5(D)(1),CONVEY/SELL/ETC PERSONAL ID INFO WITH INTENT TO DEFRAUD (F),other,FELONY,8,8
PC,30305(A)(1),PROHIBITED PERSON OWN/POSSESS/ETC AMMUNITION/ETC,other,FEL,8,7
HS,11362.4(A),SMOKE/INGEST MARIJUANA IN PUBLIC PLACE (I),other,INFRACTION,8,8
PC,502.6(A),FRAUDULENT POSSESS/USE SCANNING DEVICE (M),other,MISDEMEANOR,8,8
PC,508,EMBEZZLEMENT BY EMPLOYEE [$950 OR LESS],other,MISDEMEANOR,8,8
PC,290.011(A),TRANSIENT FAIL 30 DAY UPDATE OF REGISTRATION (M),other,MISDEMEANOR,8,8
PC,602(T),TRESPASS:ENTER AFTER NOTIF. BY PEACE OFCR ON BEHALF OF OWNER (M),other,MISDEMEANOR,8,8
PC,487J,GRAND THEFT:STOLEN COPPER MATERIALS > $950 (F),other,FELONY,8,8
PC,653M(B),ANNOYING REPEATED PHONE CALLS:RES (M),ambiguous_related,MISDEMEANOR,8,8
PC,647(J)(3)(A),DISORDERLY CONDUCT WITH CONCEALED CAMCORDER (M),other,MISDEMEANOR,8,8
PC,647(F),DISORDERLY CONDUCT:INTOX DRUG WITH ALCOHOL,other,MIS,8,8
PC,242,SIMPLE BATTERY,ambiguous_related,MISDEMEANOR,8,8
PC,166(C)(1),CONTEMPT OF COURT:VIOLATE PROTECTIVE ORDER,ambiguous_related,MIS,8,8
BP,25661(A),POSS/USE FALSE EVIDENCE OF AGE (M),other,MISDEMEANOR,7,7
VC,24603A,TWO OR MORE STOPLAMPS (I),other,INFRACTION,7,7
BP,22435.2(A),REMOVE SHOPPING/LAUNDRY CART (M),other,MISDEMEANOR,7,7
PC,600A,WILLFULLY HARM PEACE OFCRS HORSE/DOG W/SER INJ (F),other,MISDEMEANOR,7,7
PC,166(A)(4),CONTEMPT OF COURT:DISOBEY COURT ORDER,ambiguous_related,MIS,7,7
VC,5201,LIC PLATES:POSITION VIOL (I),other,INFRACTION,7,7
VC,23123(A),USE CELL PHONE WHILE DRIVING WITHOUT HANDSFREE DEVICE (I),other,INFRACTION,7,7
PC,597(B),"ANIMAL CRUELTY - OVERWORKS OR CRUELLY ABUSES, MUTILATES, TORTURES, KILLS (F)",other,FELONY,7,7
MC,9.01.025B,"USE VEHICLE AS TEMP OR PERM LIVING QUARTERS, EITHER OVER NIGHT OR BY DAY (I)",other,INFRACTION,7,7
MC,8.72.010,CONVEYANCE OF SHOPPING CART (M),other,INFRACTION,7,7
VC,23111,THROW CIGARETTE/MATCH/ETC ON HWY (I),other,INFRACTION,7,7
PC,488,PETTY THEFT(from Coin Oper Machine) (M),other,MISDEMEANOR,7,7
HS,111440,MISBRANDED DRUG/ETC:MANUFACTURE/SALE/ETC (M),other,MISDEMEANOR,7,7
VC,4463(A)(2),PASS/UTTER FORGED VEH REGISTRATION (F),other,FELONY,7,7
VC,21201(D)(1),NO BICYCLE LIGHT (I),other,INFRACTION,7,7
US,21841(A)(1),POSSESS WITH INTENT TO MFG/DISTRIBUTION CONTROLLED SUBSTANCE (F),other,FELONY,7,7
PC,278,CHILD STEALING (F),ambiguous_related,FELONY,7,7
PC,978.5,BENCH WARRANT/FAILURE TO APPEAR ON FELONY CHARGE,other,FELONY,7,7
PC,25400(C)(3),CARRY CONCEALED WEAPON WHILE ACTIVE IN CRIMINAL STREET GANG (F),other,FELONY,7,7
PC,288A(C)(2),ORAL COPULATION BY FORCE OR FEAR (F),ambiguous_related,FELONY,7,7
PC,25100(C),CRIMINAL STORAGE OF FIREARM:THIRD DEGREE (M),other,MISDEMEANOR,7,7
PC,653M(A),ANNOYING PHONE CALL OBSCENE/THREATENING - INTIMIDATION (M),ambiguous_related,MISDEMEANOR,7,7
PC,29800(A)(1),FELON/ADDICT/POSSESS/ETC FIREARM,other,FEL,7,6
PC,211,ROBBERY,ambiguous_related,FELONY,7,7
PC,637.7(A),INVADE PRIVACY:ILL USE OF ELEC TRACK DEVICE (M),other,MISDEMEANOR,7,7
PC,594(B)(2)(A),VANDALISM [$400 OR LESS],other,MISDEMEANOR,7,7
PC,273A(B),WILLFUL CRUELTY TO CHILD NO GBI,ambiguous_related,MISDEMEANOR,7,7
PC,273A(A),WILLFUL CRUELTY TO CHILD: WITH INJURY/DEATH,ambiguous_related,FELONY,7,6
PC,368(E)(1),THEFT FROM ELDER/DEP ADULT BY CARETAKER [OVER $950] (F),ambiguous_related,FELONY,7,7
PC,647(J)(4),DISORDERLY CONDUCT: DISTRIBUTION OF INTIMATE BODY PART IMAGES (M),other,MISDEMEANOR,7,7
PC,646.9(C),STALKING W/PR (F),ambiguous_related,FELONY,7,7
PC,350(A)(1),MFG/SELL UNDER 1000 COUNTERFEIT REG MARK (M),other,MISDEMEANOR,7,7
PC,273.5(A),SPOUSAL/COHABITANT ABUSE WITH SERIOUS INJURY,core_dv,FEL,7,7
PC,18715(A),RECKLESSLY POSS EXOSIVE/DESTRUCTIVE DEVICE IN PUBLIC (F),ambiguous_related,FELONY,7,7
PC,480,MAKE/POSS COUNTERFEIT MINTING PLATES (F),other,FELONY,7,6
PC,484F(A),FORGE ACCESS CARD TO DEFRAUD (F),other,FELONY,7,7
HS,11360 (A)(3),SELL/GIVE/TRANSPORT/ETC MARIJUANA W/ CERTAIN PRIORS (F),other,INFRACTION,7,7
PC,666.1(A)(1),PETTY THEFT (ALL OTHER LARCENY) W/2+ PRIOR CONVICTIONS (M),other,MISDEMEANOR,7,5
PC,288.3,CONTACT MINOR WITH INTENT SEX (F),ambiguous_related,FELONY,7,7
PC,3455,PRCS VIOLATION,other,NOF,7,7
HS,11395,TREATMENT MANDATED FELONY ACT/MISD POSS W/ 2 PRIORS,other,FEL,7,7
HS,11378,POSS CONTROLLED SUBS FOR SALE,other,FELONY,7,6
HS,11370.6(A),POSS MONEY/ETC FROM SALE/ETC OF CONT SUBS (F),other,FELONY,7,7
PC,350(A)(2),MFG/SELL 1000 OR MORE COUNTERFEIT REG MARK ) (M),other,MISDEMEANOR,7,7
PC,417A1,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM,other,MISDEMEANOR,7,7
PC,853.5,REFUSE:TO SIGN/BE FINGERPRINTED/NO IDENTIFICATION (I),other,INFRACTION,7,7
VC,40302B,FAIL TO PROVIDE WRITTEN PROMISE AT ARREST,other,OTHER,7,7
BP,4326(B),MISUSE OF HYPODERMIC NEEDLE/SYRINGE (M),other,MISDEMEANOR,6,6
PC,243D,BATTERY W/SER BODILY INJURY,ambiguous_related,FELONY,6,5
WI,8103(F)(1),WEAPONS RESTRICTIONS VIOL:MENTALLY DISORDERED PERS (F),other,FELONY,6,6
PC,4573.8,POSS DRUGS/ALCOHOLIC BEVERAGE IN PRISON/JAIL,other,FEL,6,6
PC,1551(A),FUGITIVE FROM JUSTICE:WARRANT ARREST,other,FELONY,6,5
PC,182(A)(4),CONSPIRACY:DEFRAUD PERS OF PROP (F),other,FELONY,6,6
HS,11368,FORGE/ALTER NARCOTIC PRESCRIPTION (F),other,FELONY,6,6
VC,14601.2(A),DRIV W/LIC SUSP/REV W/PRIOR DUI CONV,other,MIS,6,6
VC,4462.5,UNLAWFUL DISPLAY OF REG:INTENT NON-COMPLIANCE,other,MISDEMEANOR,6,6
VC,26708.5,TINTED WINDSHIELD/WINDOWS/ETC (I),other,INFRACTION,6,6
VC,27360A,UNRESTRAINED CHILD IN VEHICLE (PARENT/GUARDIAN) (I),other,INFRACTION,6,6
HS,12700(B)(1),"FIREWORKS, POSSESS LT 25 LBS (M)",other,MISDEMEANOR,6,6
PC,288.4(B),ARRANGE/GO TO MEETING WITH MINOR (F),ambiguous_related,FELONY,6,6
PC,12022.1,COMMIT FEL ON BAIL OR O/R RELEASE (BAIL+),other,NOF,6,6
PC,115(A),OFFER/ETC FALSE/FORGED INSTRUMENT TO FILE (F),other,FELONY,6,6
PC,666.1(A)(1),GRAND THEFT (FROM BUILDING) W/2+ PRIOR CONVICTIONS (F),other,FELONY,6,5
HS,11532(A),LOITER IN PUBLIC PLACE FOR ILLEGAL DRUG ACTIVITY (M),other,MISDEMEANOR,6,3
PC,22010,MANUFACTURE/SALE/POSSESS/ETC NUNCHAKU (M),ambiguous_related,MISDEMEANOR,6,6
PC,287(B)(1),ORAL COPULATION W/ PERSON UNDER 18 YEARS (F),ambiguous_related,FELONY,6,6
HS,11358(D),CULTIVATE MARIJUANA 6+ PLANTS W/ CERTAIN PRIORS OR CONDITIONS (F),other,FELONY,6,6
HS,11359(C),POSSESS MARIJUANA FOR SALE W/ PRIOR CONVICTION (F),other,FELONY,6,6
PC,22810(E)(1),POSSESS/PURCHAS/ETC PROJECTILE TEAR GAS WEAPON (M),other,MISDEMEANOR,6,6
PC,22810(A),UNLAWFUL POSSESS/USE TEAR GAS OR TEAR GAS WEAPON:EX FEL/ETC,other,MISDEMEANOR,6,6
VC,12500(A),DRVG WITHOUT VALID DRVR'S LIC,other,MIS,6,6
PC,148.4(A)(1),TAMPER WITH FIRE ALARM (M),other,MISDEMEANOR,6,6
PC,466,POSS BURGLARY TOOLS,other,MISDEMEANOR,6,6
PC,470(A),FORGERY (M),other,MISDEMEANOR,6,6
PC,148(B),REMOVE/ETC WEAPON FROM PEACE OFFICER/ETC:NOT FIREARM (F),other,FELONY,6,6
PC,459,BURGLARY (COMMERCIAL),other,FEL,6,6
PC,459.5,SHOPLIFTING,other,MIS,6,5
VC,21806A,RIGHT-OF-WAY:TO EMERGENCY VEH (I),other,INFRACTION,6,6
HS,11377(A),POSS CONTROLLED SUBS,other,FEL,6,6
VC,10750(A),ALTER/CHANGE VEH IDENT NUMBERS (M),other,MISDEMEANOR,6,6
PC,148(A)(1),OBSTRUCT/RESIST PEACE OFCR/EMER MED TECH,other,MIS,6,6
PC,368(D)(1),THEFT OF ELDER/DEPENDENT ADULT (EMBEZZLEMENT OVER $950) (F),ambiguous_related,FELONY,6,6
VC,13004(A),DISPLAY/POSS FAKE/ETC IDENT CARD (M),other,MISDEMEANOR,6,6
VC,21201D,BICYCLE HEADLIGHT/REFLECTOR VIOL (I),other,INFRACTION,6,6
PC,288(C)(1),LEWD & LASCIVIOUS ACT W/CHILD 14/15:DEFENDANT 10 YRS OLDER (F),ambiguous_related,FELONY,6,6
PC,243.4(A),SEXUAL BATT BY RESTRAINT (M),ambiguous_related,MISDEMEANOR,6,6
PC,487(A),GRAND THEFT (SHOPLIFTING),other,FEL,6,5
PC,487(A),GRAND THEFT (Theft From Coin Oper Machine or Dev) (F),other,FELONY,6,6
HS,11352.1(B),DISPENSE/ETC DANGEROUS DRUGS/DEVICES (M),other,MISDEMEANOR,6,6
HS,11355,SELL/ETC IN LIEU OF CONTROLLED SUBS (F),other,FELONY,6,5
PC,273.5A,SPOUSAL/COHABITANT ABUSE WITH SERIOUS INJURY,core_dv,FELONY,6,6
PC,205,AGGRAVATED MAYHEM (F),other,FELONY,6,6
PC,647(J)(4)(A),DISTRIBUTE INTIMATE IMAGE CAUSING SERIOUS EMOTIONAL DISTRESS (M),other,MISDEMEANOR,6,6
MC,13.42.060A4,DISCHARGE ANY MATERIAL INTO STORM WATER SYSTEM (M),other,MISDEMEANOR,6,6
PC,32625(A),POSSESS/ETC MACHINEGUN (F),other,FELONY,6,6
VC,23103,RECKLESS DRIVING:HIGHWAY (F),other,MISDEMEANOR,6,6
PC,25400(C)(5),CARRY CONCEALED WEAPON WITH SPECIFIC CONVICTION (F),other,FELONY,6,6
VC,23223,OPEN CONTAINER ALC IN VEH - PASS (I),other,INFRACTION,6,6
PC,602.1(B),TRESPASS:OBSTRUCT BUSINESS OF PUBLIC AGENCY (M),other,MISDEMEANOR,6,6
PC,490.4(A)(4),RECRUIT/ORGANIZE/MANAGE ANOTHER FOR RETAIL THEFT: OVER $950 (F),other,MISDEMEANOR,6,6
MC,13.36.090(B),ILLICT SCAVENGING PROHIBITED,other,MISDEMEANOR,6,6
MC,9.04.010,CONSUMPTION OF ALCOHOL IN PUBLIC PLACE (M),other,MISDEMEANOR,6,6
PC,550(A)(4),FILE FALSE INS CLAIM FOR THEFT OF Mot Veh (F),other,FELONY,6,6
PC,529.5(A),MFR DECEPTIVE GOVERNMENT ID/DRVRS LIC (M),other,MISDEMEANOR,6,6
PC,594.2(A),POSS TOOL WITH INTENT TO VANDALIZE (M),other,MISDEMEANOR,6,6
PC,550(B)(1),PROVIDE FALSE INSURANCE INFO FOR PAY (F),other,FELONY,6,6
HS,11361(B),FURNISH/ETC MINOR WITH MARIJUANA (F),other,FELONY,6,6
VC,5204A,LIC PLATES:EXPIRED TABS OR FAILURE TO DISPLAY (I),other,INFRACTION,6,6
PC,4532(B)(2),ESCAPE JAIL/ETC WHILE CHARGED/ETC WITH FELONY:FORCE/VIOLENCE(IBR 90Z),other,FELONY,6,6
PC,417(A)(2)(A),EXHIBIT CONCEALABLE FIREARM IN PUBLIC (M),other,MISDEMEANOR,6,6
PC,422.6A,VIOLATE CIVIL RIGHTS BY THREAT OF FORCE (M),ambiguous_related,MISDEMEANOR,6,6
PC,166(A)(4),CONTEMPT OF COURT:DISOBEY COURT ORDER,ambiguous_related,MISDEMEANOR,6,6
CO,69.111,OCCUPYING POSTED PREMISES PROHIBITED (M),other,MISDEMEANOR,6,6
VC,4454A,NO REGISTRATION IN VEH (I),other,INFRACTION,6,6
CO,73.111,PERSON STAND/SIT ON CROSSWALK/SIDEWALK/STEET/PARK TO OBSTRUCT OR ANNOY (M),other,MISDEMEANOR,5,5
PC,166(C)(1),CONTEMPT OF COURT:VIOLATE PROTECTIVE ORDER,ambiguous_related,MISDEMEANOR,5,5
PC,4530(B),PRISONER ESCAPE W/O FORCE (F),other,FELONY,5,5
PC,453(A),POSS/MFG/DISPOSE OF MATERIAL/DEVICE FOR ARSON (F),other,FELONY,5,5
VC,21460A,LANE USAGE:VEH CROSS DOUBLE SOLID LINE (I),other,INFRACTION,5,5
PC,472,FORGE OFFICIAL SEAL (F),other,FELONY,5,5
PC,148(A)(1),OBSTRUCT/RESIST/ETC PUBLIC/PEACE OFFICER/EMERGENCY MED TECH,other,MISDEMEANOR,5,5
PC,182(A)(1),CONSPIRACY:COMMIT CRIME,other,FEL,5,4
BP,22435,TAKE MARKED CART FROM RETAIL ESTABLISHMENT (M),other,MISDEMEANOR,5,5
VC,4461(C),DISPLAY UNAUTH DISABLED PERS PLACARD (M),other,MISDEMEANOR,5,5
PC,182(A)(1),CONSPIRACY:COMMIT CRIME,other,MISDEMEANOR,5,2
VC,23123.5(A),PROHIBIT USE OF HND HLD DEVICE WHILE DRIVING (I),other,INFRACTION,5,5
PC,290.015,290 VIOLATION AFTER INCARCERATION (F),other,FELONY,5,5
MC,9.04.040,LITTERING/DISTRIBUTING FLYERS IN CITY (M),other,INFRACTION,5,3
PC,290.018(G),290 VIOLATION TRAN 30 DAY UPDATE (F),other,FELONY,5,5
PC,626.10(A),POSSESS WEAPON/ETC AT SCHOOL (M),other,MISDEMEANOR,5,5
PC,496D(A),POSS STOLEN VEH/VESSEL,other,FEL,5,5
PC,496D(A),POSS STOLEN VEH/VESSEL,other,FELONY,5,5
PC,211,ROBBERY,ambiguous_related,FEL,5,5
PC,209(B)(1),KIDNAP TO COMMIT ROBBERY/RAPE/289 PC (F),ambiguous_related,FELONY,5,5
PC,602(H),TRESPASS:SIGNS DISPLAYED:FARM ANIMALS RAISED:ENTER LAND AND/OR DESTROY FENCE,other,MISDEMEANOR,5,5
PC,487E,GRAND THEFT:DOG [OVER $950] (F),other,FELONY,5,5
PC,487(D),GRAND THEFT:FIREARM/ANIMAL (Theft From Mot Veh) (F),other,FELONY,5,5
MC,9.60.040,HARASS PERSON IN PUBLIC PLACE TO SOLICIT MONEY OR GOODS,other,MISDEMEANOR,5,5
PC,653.23,SUPERVISE/ETC PROSTITUTION ACTIVITIES (M),other,MISDEMEANOR,5,5
PC,288.7(B),ORAL COPULATION:VICTIM UNDER 10 YEARS OF AGE: DEF 18+ (F),ambiguous_related,FELONY,5,5
MC,10.20.140,"CAMPING, ETC., ON PRIVATE PROPERTY WITHOUT PERMISSION",other,MISDEMEANOR,5,5
PC,602(S),TRESPASS:REFUSE TO LEAVE HOTEL/MOTEL (M),other,MISDEMEANOR,5,5
PC,496(A),RECEIVE/ETC KNOWN STOLEN PROPERTY,other,FELONY,5,5
PC,626.9(B),HAVE FIREARM AT PUBLIC SCHOOL (F),other,FELONY,5,5
PC,626.10(A),POSS WEAPON AT SCHOOL (F),other,FELONY,5,5
PC,288.7(B),FORCIBLE PENETRATION W/OBJECT:VICTIM UNDER 10 YEARS OF AGE (F),ambiguous_related,FELONY,5,5
VC,22400A,DRIVE TOO SLOWLY/IMPEDING TRAFFIC (I),other,INFRACTION,5,5
HS,12671,SELL/USE/ETC UNCLASSED FIREWORKS (M),other,MISDEMEANOR,5,5
PC,25400(C)(6)A,FELON CARRY A LOADED CONCEALED WEAPON ON PERSON (F),other,FELONY,5,5
PC,261(A)(1),RAPE:VIC INCAPABLE OF GIVING CONSENT (F),ambiguous_related,FELONY,5,5
PC,243.25,BATTERY ON ELDER OR DEPENDENT ADULT WITH NO INJURY / MINOR INJURY (M),ambiguous_related,MISDEMEANOR,5,5
VC,23153(B),DUI .08 ALC:CAUSING BODILY INJ,other,FEL,5,5
PC,273D,INFLICT MINOR INJ UPON CHILD (M),ambiguous_related,FELONY,5,5
PC,273.5 (F)(1),INFLICT CORPORAL INJURY ON SPOUSE/COHAB/GRLFRND W/PRIORS (F),core_dv,FELONY,5,5
HS,11370.1(A),POSS CONT SUBS WHILE ARMED W/LOADED FIREARM,other,FEL,5,5
PC,422.6B,DAMAGE PROP TO VIOLATE CIVIL RIGHTS (M),ambiguous_related,MISDEMEANOR,5,5
PC,453(A),POSS/MFG/DISPOSE OF MATERIAL/DEV FOR ARSON (F),other,FELONY,5,5
VC,16028A,FAIL TO PROVE FIN RESPONSIBILITY:PEACE OFCR REQUEST,other,INFRACTION,5,5
PC,405A,LYNCHING WITH NO INJURY / MINOR INJURY (F),other,FELONY,5,5
VC,5200,"IF ONLY ONE PLATE ISSUED, MUST BE ON BACK (I)",other,INFRACTION,5,5
PC,4570.5,FALSE IDENT FOR PRISON/JAIL ADMISSION (M),other,MISDEMEANOR,5,5
