year,city_normalized,all_source_ids,core_dv_source_ids,dv_order_source_ids,broad_dv_source_ids,source_charge_rows,core_dv_share_of_source_ids
2018,PINE VALLEY,46,0,0,0,82,0.0
2018,POTRERO,1,0,0,0,1,0.0
2018,POWAY,293,27,6,33,433,0.09215017064846416
2018,POWAY UNINC,1,1,0,1,1,1.0
2018,RAMONA,289,38,3,40,429,0.1314878892733564
2018,RANCHITA,5,0,0,0,8,0.0
2018,RANCHO SANTA FE,17,6,0,6,22,0.35294117647058826
2018,RIVERSIDE,4,0,0,0,5,0.0
2018,SACRAMENTO,1,0,0,0,1,0.0
2018,SAN CLEMENTE,3,0,0,0,7,0.0
2018,SAN DIEGO,560,13,7,19,840,0.023214285714285715
2018,SAN MARCOS,829,74,20,93,1320,0.08926417370325694
2018,SAN MARCOS UNIN,14,4,0,4,22,0.2857142857142857
2018,SAN YSABEL,7,1,0,1,11,0.14285714285714285
2018,SAN YSIDRO,8,0,0,0,16,0.0
2018,SANTA ANA,3,0,0,0,5,0.0
2018,SANTA YSABEL,3,0,0,0,3,0.0
2018,SANTEE,940,58,15,73,1487,0.06170212765957447
2018,SHERIFF (administrative label),1052,35,36,65,1265,0.03326996197718631
2018,SOLANA BEACH,101,10,1,11,149,0.09900990099009901
2018,SOUTH BAY,95,0,0,0,166,0.0
2018,SPRING VALLEY,693,82,14,95,1044,0.11832611832611832
2018,TECATE,35,1,0,1,43,0.02857142857142857
2018,TEMECULA,9,0,0,0,20,0.0
2018,UNKNOWN/UNREPORTED,2,0,0,0,4,0.0
2018,VALLEY CENTER,295,21,3,23,481,0.0711864406779661
2018,VISTA,1560,147,38,181,2453,0.09423076923076923
2018,VISTA UNINC,116,15,2,17,159,0.12931034482758622
2018,WARNER SPRINGS,13,1,0,1,29,0.07692307692307693
2019,OTHER/UNVERIFIED LOCALITY LABEL,62,2,1,2,87,0.03225806451612903
2019,4S RANCH,50,9,1,10,71,0.18
2019,ALPINE,752,37,9,45,1388,0.04920212765957447
2019,BONITA,107,14,3,16,171,0.1308411214953271
2019,BONSALL,104,9,3,12,174,0.08653846153846154
2019,BORREGO SPRINGS,48,9,0,9,65,0.1875
2019,BOULEVARD,81,4,2,6,126,0.04938271604938271
2019,CAMP PENDLETON,39,3,1,4,58,0.07692307692307693
2019,CAMPO,62,15,2,16,84,0.24193548387096775
2019,CARDIFF BY THE SEA,5,1,0,1,7,0.2
2019,CARLSBAD,128,2,3,5,165,0.015625
2019,CHINO,1,0,0,0,4,0.0
2019,CHULA VISTA,254,6,0,6,350,0.023622047244094488
2019,CORONADO,12,0,0,0,18,0.0
2019,DEL MAR,129,10,0,10,174,0.07751937984496124
2019,DESCANSO,9,2,0,2,15,0.2222222222222222
2019,DOWNEY,1,0,0,0,1,0.0
2019,DULZURA,94,5,1,6,158,0.05319148936170213
2019,EL CAJON,405,29,14,42,587,0.07160493827160494
2019,EL CAJON UNINC,789,93,17,109,1230,0.11787072243346007
2019,EL CENTRO,1,0,0,0,1,0.0
2019,ENCINITAS,1159,72,13,81,1734,0.062122519413287315
2019,ESCONDIDO,261,13,5,17,427,0.04980842911877394
2019,ESCONDIDO UNINC,126,32,7,38,189,0.25396825396825395
2019,FALLBROOK,839,101,16,113,1278,0.12038140643623362
2019,HEMET,8,0,0,0,12,0.0
2019,IMPERIAL BEACH,836,72,8,80,1134,0.0861244019138756
2019,JACUMBA,17,2,2,4,23,0.11764705882352941
2019,JAMUL,218,18,2,19,405,0.08256880733944955
