cohort,label,unitid,campus_id,institution_name,opeid,branch,address,city,state,zip,reported_enrollment_men,reported_enrollment_women,reported_enrollment_total,filter_2022,filter_2023,filter_2024,candidate_first_campus_suffix001,housing_analysis_selection,source_file
Ivy League,Columbia,190150,190150005,Columbia University in the City of New York,00270700,Nevis Laboratories,Route 9,Irvington,NY,10533,15887,19286,35173,1,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Ivy League,Columbia,190150,190150006,Columbia University in the City of New York,00270700,Manhattanville Campus,3270 Broadway,New York,NY,10027,15887,19286,35173,1,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Ivy League,Columbia,190150,190150007,Columbia University in the City of New York,00270700,Baker Athletics Complex,533 West 218th Street,New York,NY,10034,15887,19286,35173,0,0,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Ivy League,Columbia,190150,190150008,Columbia University in the City of New York,00270700,CU Paris / Reid Hall,4 rue de Chevreuse,Paris,,75006,15887,19286,35173,0,0,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Ivy League,Cornell,190415,190415001,Cornell University,00271100,Endowed and Contract College Campuses,353 Pine Tree Road,ITHACA,NY,148531701,12696,14097,26793,1,1,1,1,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Ivy League,Cornell,190415,190415002,Cornell University,00271100,Cornell Tech Campus,2 West Loop Road,New York,NY,10044,12696,14097,26793,1,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Ivy League,Cornell,190415,190415003,Cornell University,00271100,Cornell AgriTech Campus,630 W. North Street,Geneva,NY,14456,12696,14097,26793,1,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Ivy League,Dartmouth,182670,182670001,Dartmouth College,00257300,Dartmouth College  Main Campus,14 North Main Street,HANOVER,NH,03755,3534,3404,6938,1,1,1,1,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Ivy League,Dartmouth,182670,182670002,Dartmouth College,00257300,Lebanon Campus,One Medical Centre Drive,Lebanon,NH,03756,3534,3404,6938,1,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Ivy League,Harvard,166027,166027001,Harvard University,00215500,Cambridge Campus,Massachusetts Hall,Cambridge,MA,02138,13812,16447,30259,1,1,1,1,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Ivy League,Harvard,166027,166027002,Harvard University,00215500,Longwood Campus,Massachusetts Hall,Cambridge,MA,02138,13812,16447,30259,1,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Ivy League,Harvard,166027,166027003,Harvard University,00215500,Concord Field Station,100 Old Causeway Road,Bedford,MA,01730,13812,16447,30259,1,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Ivy League,Harvard,166027,166027004,Harvard University,00215500,Arnold Arboretum,125 Arborway,Boston,MA,02130,13812,16447,30259,1,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Ivy League,Harvard,166027,166027006,Harvard University,00215500,Harvard Forest,324 North Main Street,Petersham,MA,01366,13812,16447,30259,1,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Ivy League,Harvard,166027,166027008,Harvard University,00215500,Center for Hellenic Studies,Othonos Street & Philhellene Square,Nafplion,,21 100,13812,16447,30259,1,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Ivy League,Harvard,166027,166027009,Harvard University,00215500,DRCLAS - Chile,"Avenida Dag Hammarskjold 3269, Piso 3",Santiago,,7630000,13812,16447,30259,1,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Ivy League,Pennsylvania,215062,215062001,University of Pennsylvania,00337800,Main Campus,1 COLLEGE HALL 34TH AND SPRUCE STS,PHILADELPHIA,PA,191046380,12877,16232,29109,1,1,1,1,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Ivy League,Pennsylvania,215062,215062003,University of Pennsylvania,00337800,University Boathouse on the Schuylkill River,11 Kelly Drive,Philadelphia,PA,19130,12877,16232,29109,1,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Ivy League,Pennsylvania,215062,215062004,University of Pennsylvania,00337800,New Bolton Center,382 W Street Road,Kennett Square,PA,193481691,12877,16232,29109,1,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Ivy League,Pennsylvania,215062,215062005,University of Pennsylvania,00337800,Morris Arboretum,100 East Northwestern Avenue,Philadelphia,PA,19118,12877,16232,29109,1,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Ivy League,Pennsylvania,215062,215062006,University of Pennsylvania,00337800,Wharton San Francisco,"2 Harrison Street, 6th Fl",San Francisco,CA,94105,12877,16232,29109,1,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Ivy League,Pennsylvania,215062,215062007,University of Pennsylvania,00337800,Wharton Center City,2401 Walnut Street,Philadelphia,PA,19103,12877,16232,29109,1,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Ivy League,Princeton,186131,186131001,Princeton University,00262700,Main Campus,1 Nassau Hall,PRINCETON,NJ,085440070,4759,4378,9137,1,1,1,1,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Ivy League,Princeton,186131,186131002,Princeton University,00262700,James Forrestal Campus,P.O. Box 451,Princeton,NJ,085430451,4759,4378,9137,1,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Ivy League,Yale,130794,130794001,Yale University,00142600,Main Campus,105 Wall Street,NEW HAVEN,CT,06511,7275,8289,15564,1,1,1,1,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Ivy League,Yale,130794,130794002,Yale University,00142600,Yale University - West Campus,400 West Campus Drive,Orange,CT,06477,7275,8289,15564,1,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Additional public,San Diego State,122409,122409001,San Diego State University,00115100,Main Campus,5500 CAMPANILE DR,SAN DIEGO,CA,921828210,17570,23567,41137,1,1,1,1,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
