unitid,institution,cohort,period,measure,category,geography,denominator_basis,reported_count,population_sum,years,rate_per_1000,rate_status,collection_year,interpretation
217156,Brown,ivy,2022,residents,aggravated_assault,residential,residents,0,,1,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
217156,Brown,ivy,2023,residents,aggravated_assault,residential,residents,1,,1,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
217156,Brown,ivy,2024,residents,aggravated_assault,residential,residents,1,,1,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
217156,Brown,ivy,2022,enrollment,burglary,oncampus,enrollment,9,11189,1,0.8043614264009294,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2023,enrollment,burglary,oncampus,enrollment,6,11516,1,0.5210142410559222,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2024,enrollment,burglary,oncampus,enrollment,7,11956,1,0.585480093676815,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2022,housingEnrollment,burglary,residential,enrollment,4,11189,1,0.357493967289302,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2023,housingEnrollment,burglary,residential,enrollment,2,11516,1,0.1736714136853074,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2024,housingEnrollment,burglary,residential,enrollment,4,11956,1,0.33456005352960855,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2022,residents,burglary,residential,residents,4,,1,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
217156,Brown,ivy,2023,residents,burglary,residential,residents,2,,1,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
217156,Brown,ivy,2024,residents,burglary,residential,residents,4,,1,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
217156,Brown,ivy,2022,enrollment,motor_vehicle_theft,oncampus,enrollment,17,11189,1,1.5193493609795334,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2023,enrollment,motor_vehicle_theft,oncampus,enrollment,24,11516,1,2.084056964223689,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2024,enrollment,motor_vehicle_theft,oncampus,enrollment,22,11956,1,1.8400802944128472,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2022,housingEnrollment,motor_vehicle_theft,residential,enrollment,0,11189,1,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2023,housingEnrollment,motor_vehicle_theft,residential,enrollment,0,11516,1,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2024,housingEnrollment,motor_vehicle_theft,residential,enrollment,0,11956,1,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2022,residents,motor_vehicle_theft,residential,residents,0,,1,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
217156,Brown,ivy,2023,residents,motor_vehicle_theft,residential,residents,0,,1,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
217156,Brown,ivy,2024,residents,motor_vehicle_theft,residential,residents,0,,1,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
217156,Brown,ivy,2022,enrollment,arson,oncampus,enrollment,1,11189,1,0.0893734918223255,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2023,enrollment,arson,oncampus,enrollment,0,11516,1,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2024,enrollment,arson,oncampus,enrollment,3,11956,1,0.2509200401472064,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2022,housingEnrollment,arson,residential,enrollment,1,11189,1,0.0893734918223255,available,2025,Reported offenses relative to enrolled population; not victimization probability
