unitid,institution,cohort,period,measure,category,geography,denominator_basis,reported_count,population_sum,years,rate_per_1000,rate_status,collection_year,interpretation
110404,Caltech,private,pooled,residents,incest,residential,residents,0,,3,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
110404,Caltech,private,pooled,enrollment,statutory_rape,oncampus,enrollment,0,7294,3,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
110404,Caltech,private,pooled,housingEnrollment,statutory_rape,residential,enrollment,0,7294,3,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
110404,Caltech,private,pooled,residents,statutory_rape,residential,residents,0,,3,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
110404,Caltech,private,pooled,enrollment,murder,oncampus,enrollment,0,7294,3,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
110404,Caltech,private,pooled,housingEnrollment,murder,residential,enrollment,0,7294,3,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
110404,Caltech,private,pooled,residents,murder,residential,residents,0,,3,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
110404,Caltech,private,pooled,enrollment,negligent_manslaughter,oncampus,enrollment,0,7294,3,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
110404,Caltech,private,pooled,housingEnrollment,negligent_manslaughter,residential,enrollment,0,7294,3,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
110404,Caltech,private,pooled,residents,negligent_manslaughter,residential,residents,0,,3,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
110404,Caltech,private,pooled,enrollment,robbery,oncampus,enrollment,1,7294,3,0.13709898546750754,available,2025,Reported offenses relative to enrolled population; not victimization probability
110404,Caltech,private,pooled,housingEnrollment,robbery,residential,enrollment,0,7294,3,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
110404,Caltech,private,pooled,residents,robbery,residential,residents,0,,3,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
110404,Caltech,private,pooled,enrollment,aggravated_assault,oncampus,enrollment,3,7294,3,0.4112969564025226,available,2025,Reported offenses relative to enrolled population; not victimization probability
110404,Caltech,private,pooled,housingEnrollment,aggravated_assault,residential,enrollment,1,7294,3,0.13709898546750754,available,2025,Reported offenses relative to enrolled population; not victimization probability
110404,Caltech,private,pooled,residents,aggravated_assault,residential,residents,1,,3,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
110404,Caltech,private,pooled,enrollment,burglary,oncampus,enrollment,16,7294,3,2.1935837674801206,available,2025,Reported offenses relative to enrolled population; not victimization probability
110404,Caltech,private,pooled,housingEnrollment,burglary,residential,enrollment,7,7294,3,0.9596928982725528,available,2025,Reported offenses relative to enrolled population; not victimization probability
110404,Caltech,private,pooled,residents,burglary,residential,residents,7,,3,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
110404,Caltech,private,pooled,enrollment,motor_vehicle_theft,oncampus,enrollment,37,7294,3,5.072662462297779,available,2025,Reported offenses relative to enrolled population; not victimization probability
110404,Caltech,private,pooled,housingEnrollment,motor_vehicle_theft,residential,enrollment,6,7294,3,0.8225939128050452,available,2025,Reported offenses relative to enrolled population; not victimization probability
110404,Caltech,private,pooled,residents,motor_vehicle_theft,residential,residents,6,,3,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
110404,Caltech,private,pooled,enrollment,arson,oncampus,enrollment,0,7294,3,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
110404,Caltech,private,pooled,housingEnrollment,arson,residential,enrollment,0,7294,3,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
110404,Caltech,private,pooled,residents,arson,residential,residents,0,,3,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
110404,Caltech,private,pooled,enrollment,domestic_violence,oncampus,enrollment,2,7294,3,0.2741979709350151,available,2025,Reported offenses relative to enrolled population; not victimization probability
110404,Caltech,private,pooled,housingEnrollment,domestic_violence,residential,enrollment,1,7294,3,0.13709898546750754,available,2025,Reported offenses relative to enrolled population; not victimization probability
110404,Caltech,private,pooled,residents,domestic_violence,residential,residents,1,,3,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
110404,Caltech,private,pooled,enrollment,dating_violence,oncampus,enrollment,6,7294,3,0.8225939128050452,available,2025,Reported offenses relative to enrolled population; not victimization probability
