year,county,agency_name,jurisdiction_code,months_present,months_absent,total_calls,weapons_involved,sub_firearm,sub_knife,sub_other,sub_personal,weapon_not_rpt,total_strang_suffo,sub_strangulation,sub_suffocation,strangulation_months_with_data,known_partial_months,coverage_note,unit
2002,San Diego County,UC San Diego,3797,12,,21,9,0,0,1,8,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2002,San Diego County,Vista,3713,12,,521,503,6,14,70,413,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2003,San Diego County,CA Highway Patrol - San Diego,3799,12,,1,1,0,0,0,1,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2003,San Diego County,CSU San Diego,3714,12,,6,6,0,0,0,6,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2003,San Diego County,CSU San Marcos,3732,12,,1,0,0,0,0,0,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2003,San Diego County,Carlsbad,3701,12,,395,252,2,7,39,204,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2003,San Diego County,Chula Vista,3702,12,,1881,1289,9,47,201,1032,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2003,San Diego County,Colorado Desert DPR,3722,12,,1,0,0,0,0,0,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2003,San Diego County,Coronado,3703,12,,57,39,0,1,4,34,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2003,San Diego County,Del Mar,3704,12,,9,8,0,0,0,8,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2003,San Diego County,El Cajon,3705,12,,719,442,4,14,47,377,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2003,San Diego County,Encinitas,37A4,12,,208,172,1,1,28,142,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2003,San Diego County,Escondido,3706,12,,882,832,3,26,86,717,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2003,San Diego County,Imperial Beach,3707,12,,261,242,1,4,23,214,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2003,San Diego County,La Mesa,3708,12,,379,337,2,7,31,297,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2003,San Diego County,Lemon Grove,37A1,12,,187,181,1,2,24,154,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2003,San Diego County,National City,3709,12,,684,585,0,20,98,467,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2003,San Diego County,Oceanside,3710,12,,1998,1056,7,23,120,906,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2003,San Diego County,Ocotillo Wells DPR,3724,12,,1,1,0,1,0,0,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2003,San Diego County,Poway,37A3,12,,195,171,1,1,19,150,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2003,San Diego County,San Diego,3711,12,,10526,8372,75,302,1570,6425,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2003,San Diego County,San Diego Co. Sheriff's Department,3700,12,,2160,1998,15,34,213,1736,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2003,San Diego County,San Diego Coast DPR,3725,12,,2,2,0,0,0,2,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2003,San Diego County,San Diego Harbor,3715,12,,0,0,0,0,0,0,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2003,San Diego County,San Marcos,3712,12,,373,335,0,4,39,292,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2003,San Diego County,Santee,37A2,12,,281,249,0,1,25,223,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2003,San Diego County,Solana Beach,37A5,12,,31,31,0,0,3,28,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2003,San Diego County,UC San Diego,3797,12,,14,4,0,0,0,4,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2003,San Diego County,Vista,3713,12,,505,489,0,10,46,433,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2004,San Diego County,CA Highway Patrol - San Diego,3799,4,4;6;7;8;9;10;11;12,3,2,0,0,0,2,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2004,San Diego County,CSU San Diego,3714,11,12,19,8,0,0,0,8,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2004,San Diego County,CSU San Marcos,3732,5,4;6;7;8;9;10;12,1,0,0,0,0,0,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2004,San Diego County,Carlsbad,3701,12,,360,263,0,4,40,219,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
