year,month,year_month,county,agency_name,jurisdiction_code,total_calls,weapons_involved,sub_firearm,sub_knife,sub_other,sub_personal,weapon_not_rpt,total_strang_suffo,sub_strangulation,sub_suffocation,explicit_sheriff_partial_reporting,coverage_note,unit
2001,4,2001-04,San Diego County,Escondido,3706,69,64,0,6,5,53,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,4,2001-04,San Diego County,Imperial Beach,3707,22,13,0,1,1,11,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,4,2001-04,San Diego County,La Mesa,3708,25,22,0,0,3,19,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,4,2001-04,San Diego County,Lemon Grove,37A1,10,9,0,1,2,6,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,4,2001-04,San Diego County,National City,3709,46,44,0,1,8,35,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,4,2001-04,San Diego County,Oceanside,3710,103,95,0,2,32,61,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,4,2001-04,San Diego County,Ocotillo Wells DPR,3724,0,0,0,0,0,0,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,4,2001-04,San Diego County,Poway,37A3,17,13,0,1,1,11,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,4,2001-04,San Diego County,San Diego,3711,923,728,9,35,153,531,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,4,2001-04,San Diego County,San Diego Co. Sheriff's Department,3700,110,107,2,3,9,93,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,4,2001-04,San Diego County,San Diego Coast DPR,3725,0,0,0,0,0,0,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,4,2001-04,San Diego County,San Diego Harbor,3715,0,0,0,0,0,0,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,4,2001-04,San Diego County,San Marcos,3712,12,9,0,0,4,5,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,4,2001-04,San Diego County,Santee,37A2,18,18,0,0,1,17,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,4,2001-04,San Diego County,Solana Beach,37A5,6,6,0,1,0,5,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,4,2001-04,San Diego County,UC San Diego,3797,2,1,0,0,0,1,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,4,2001-04,San Diego County,Vista,3713,45,43,0,3,3,37,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,5,2001-05,San Diego County,CA Highway Patrol - San Diego,3799,0,0,0,0,0,0,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,5,2001-05,San Diego County,CSU San Diego,3714,0,0,0,0,0,0,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,5,2001-05,San Diego County,CSU San Marcos,3732,0,0,0,0,0,0,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,5,2001-05,San Diego County,Carlsbad,3701,23,16,0,0,2,14,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,5,2001-05,San Diego County,Chula Vista,3702,183,116,0,1,33,82,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,5,2001-05,San Diego County,Colorado Desert DPR,3722,0,0,0,0,0,0,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,5,2001-05,San Diego County,Coronado,3703,2,2,0,0,0,2,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,5,2001-05,San Diego County,Del Mar,3704,1,0,0,0,0,0,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,5,2001-05,San Diego County,El Cajon,3705,99,80,0,0,14,66,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,5,2001-05,San Diego County,Encinitas,37A4,15,14,0,1,1,12,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,5,2001-05,San Diego County,Escondido,3706,62,58,0,6,3,49,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,5,2001-05,San Diego County,Imperial Beach,3707,8,7,0,1,0,6,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,5,2001-05,San Diego County,La Mesa,3708,18,17,0,1,1,15,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,5,2001-05,San Diego County,Lemon Grove,37A1,7,5,0,0,2,3,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,5,2001-05,San Diego County,National City,3709,60,53,0,3,4,46,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,5,2001-05,San Diego County,Oceanside,3710,106,100,2,4,19,75,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,5,2001-05,San Diego County,Ocotillo Wells DPR,3724,0,0,0,0,0,0,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,5,2001-05,San Diego County,Poway,37A3,7,6,0,0,1,5,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,5,2001-05,San Diego County,San Diego,3711,959,792,7,27,137,621,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,5,2001-05,San Diego County,San Diego Co. Sheriff's Department,3700,117,98,1,6,18,73,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,5,2001-05,San Diego County,San Diego Coast DPR,3725,0,0,0,0,0,0,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,5,2001-05,San Diego County,San Diego Harbor,3715,0,0,0,0,0,0,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,5,2001-05,San Diego County,San Marcos,3712,14,8,0,0,2,6,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,5,2001-05,San Diego County,Santee,37A2,19,13,0,0,4,9,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,5,2001-05,San Diego County,Solana Beach,37A5,2,2,0,0,0,2,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,5,2001-05,San Diego County,UC San Diego,3797,1,1,0,0,0,1,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,5,2001-05,San Diego County,Vista,3713,33,32,0,0,8,24,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,6,2001-06,San Diego County,CA Highway Patrol - San Diego,3799,0,0,0,0,0,0,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,6,2001-06,San Diego County,CSU San Diego,3714,1,0,0,0,0,0,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,6,2001-06,San Diego County,CSU San Marcos,3732,0,0,0,0,0,0,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,6,2001-06,San Diego County,Carlsbad,3701,15,13,0,0,2,11,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,6,2001-06,San Diego County,Chula Vista,3702,178,126,3,4,7,112,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,6,2001-06,San Diego County,Colorado Desert DPR,3722,1,1,0,0,0,1,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,6,2001-06,San Diego County,Coronado,3703,4,2,0,0,0,2,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,6,2001-06,San Diego County,Del Mar,3704,2,2,0,0,0,2,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,6,2001-06,San Diego County,El Cajon,3705,87,64,0,2,13,49,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,6,2001-06,San Diego County,Encinitas,37A4,20,16,0,0,3,13,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,6,2001-06,San Diego County,Escondido,3706,78,72,0,4,2,66,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,6,2001-06,San Diego County,Imperial Beach,3707,17,15,0,0,5,10,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,6,2001-06,San Diego County,La Mesa,3708,43,39,0,2,2,35,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
