institution_unitid,campus_id,campus,report_edition,report_year,category,geography,federal_count,current_asr_count,federal_status,asr_status,difference,source_url
234076,234076001,Charlottesville,2026,2023,robbery,publicproperty,0,0,reported_numeric,reported_numeric,0,https://cleryact.virginia.edu/report#page=113
234076,234076001,Charlottesville,2026,2024,aggravated_assault,residential,0,0,reported_numeric,reported_numeric,0,https://cleryact.virginia.edu/report#page=113
234076,234076001,Charlottesville,2026,2024,aggravated_assault,oncampus,17,17,reported_numeric,reported_numeric,0,https://cleryact.virginia.edu/report#page=113
234076,234076001,Charlottesville,2026,2024,aggravated_assault,noncampus,5,5,reported_numeric,reported_numeric,0,https://cleryact.virginia.edu/report#page=113
234076,234076001,Charlottesville,2026,2024,aggravated_assault,publicproperty,5,5,reported_numeric,reported_numeric,0,https://cleryact.virginia.edu/report#page=113
234076,234076001,Charlottesville,2026,2023,aggravated_assault,residential,2,2,reported_numeric,reported_numeric,0,https://cleryact.virginia.edu/report#page=113
234076,234076001,Charlottesville,2026,2023,aggravated_assault,oncampus,16,16,reported_numeric,reported_numeric,0,https://cleryact.virginia.edu/report#page=113
234076,234076001,Charlottesville,2026,2023,aggravated_assault,noncampus,2,2,reported_numeric,reported_numeric,0,https://cleryact.virginia.edu/report#page=113
234076,234076001,Charlottesville,2026,2023,aggravated_assault,publicproperty,3,3,reported_numeric,reported_numeric,0,https://cleryact.virginia.edu/report#page=113
234076,234076001,Charlottesville,2026,2024,burglary,residential,5,5,reported_numeric,reported_numeric,0,https://cleryact.virginia.edu/report#page=113
234076,234076001,Charlottesville,2026,2024,burglary,oncampus,13,13,reported_numeric,reported_numeric,0,https://cleryact.virginia.edu/report#page=113
234076,234076001,Charlottesville,2026,2024,burglary,noncampus,4,4,reported_numeric,reported_numeric,0,https://cleryact.virginia.edu/report#page=113
234076,234076001,Charlottesville,2026,2024,burglary,publicproperty,0,0,reported_numeric,reported_numeric,0,https://cleryact.virginia.edu/report#page=113
234076,234076001,Charlottesville,2026,2023,burglary,residential,2,2,reported_numeric,reported_numeric,0,https://cleryact.virginia.edu/report#page=113
234076,234076001,Charlottesville,2026,2023,burglary,oncampus,13,13,reported_numeric,reported_numeric,0,https://cleryact.virginia.edu/report#page=113
234076,234076001,Charlottesville,2026,2023,burglary,noncampus,6,6,reported_numeric,reported_numeric,0,https://cleryact.virginia.edu/report#page=113
234076,234076001,Charlottesville,2026,2023,burglary,publicproperty,0,0,reported_numeric,reported_numeric,0,https://cleryact.virginia.edu/report#page=113
234076,234076001,Charlottesville,2026,2024,motor_vehicle_theft,residential,1,1,reported_numeric,reported_numeric,0,https://cleryact.virginia.edu/report#page=113
234076,234076001,Charlottesville,2026,2024,motor_vehicle_theft,oncampus,126,126,reported_numeric,reported_numeric,0,https://cleryact.virginia.edu/report#page=113
234076,234076001,Charlottesville,2026,2024,motor_vehicle_theft,noncampus,0,0,reported_numeric,reported_numeric,0,https://cleryact.virginia.edu/report#page=113
