period,zip_code,variable,n,changed_more_than_1e_7_f,bias_f,mae_f,max_abs_f
full,92115,mean,2741,2649,0.0002377662604888297,0.0540697434804814,0.46666666999999507
full,92123,mean,2741,2662,0.0031494270886537412,0.05460268925574603,0.47083333000000493
full,92127,mean,2741,2658,-0.005766199266691,0.056334330080262625,0.49166667000000075
full,92154,mean,2741,2659,0.0005989906165633085,0.054754894870485106,0.47083332999999783
full,92173,mean,2741,2649,0.002630252385990539,0.05345501225465158,0.42916667000000075
full,91901,low,2741,117,-0.029478292593943814,0.033053630062021166,3.3999999999999986
full,91902,low,2741,108,-0.0308646479387085,0.033856256840569136,4.399999999999999
full,91905,low,2741,159,-0.04159066034294054,0.05005472455308283,3.299999999999997
full,91906,low,2741,135,-0.024735497993433057,0.02947829259394383,2.3999999999999986
full,91910,low,2741,131,-0.032433418460415905,0.039875957679678956,6.100000000000001
full,91911,low,2741,129,-0.03239693542502735,0.039766508573513305,6.0
full,91917,low,2741,124,-0.030645749726377267,0.03414812112367751,2.5999999999999943
full,91932,low,2741,130,-0.03261583363735863,0.039766508573513326,6.0
full,91935,low,2741,113,-0.029259394381612534,0.03217803721269608,2.700000000000003
full,91941,low,2741,103,-0.027435242612185357,0.03020795330171471,4.600000000000001
full,91942,low,2741,103,-0.027435242612185357,0.03020795330171471,4.600000000000001
full,91945,low,2741,108,-0.030536300620211607,0.03352790952207223,4.399999999999999
full,91950,low,2741,121,-0.03378329076979208,0.03808828894564031,6.5
full,91962,low,2741,123,-0.0209047792776359,0.02681503101058008,2.299999999999997
full,91977,low,2741,107,-0.030755198832542872,0.0338197738051806,4.399999999999999
full,91978,low,2741,124,-0.02900401313389274,0.03323604523896388,2.799999999999997
full,91980,low,2741,136,-0.03170375775264502,0.03389273987595768,2.700000000000003
full,92003,low,2741,94,-0.02619481940897482,0.028748631886172934,3.8999999999999986
full,92004,low,2741,98,-0.03973002553812476,0.041627143378329075,4.0
full,92007,low,2741,119,-0.04002188982123312,0.043962057643195926,7.0
full,92008,low,2741,98,-0.029660707770886526,0.030974097044874124,3.0
full,92009,low,2741,100,-0.03378329076979204,0.03568040860999635,5.399999999999999
full,92011,low,2741,98,-0.02991608901860634,0.03137541043414811,2.8999999999999986
full,92014,low,2741,121,-0.04002188982123312,0.04396205764319591,7.0
full,92019,low,2741,105,-0.02550164173659248,0.029587741700109443,3.6000000000000014
full,92020,low,2741,103,-0.027325793506019713,0.0299525720539949,4.5
full,92021,low,2741,105,-0.025355709595038307,0.029587741700109457,3.6000000000000014
full,92024,low,2741,119,-0.04002188982123312,0.04396205764319591,7.0
full,92025,low,2741,85,-0.02185333819773805,0.023239693542502736,3.6999999999999957
full,92026,low,2741,94,-0.025720539948923756,0.026742064939803006,2.8000000000000043
full,92027,low,2741,86,-0.021889821233126584,0.023203210507114186,3.700000000000003
full,92028,low,2741,81,-0.025173294418095606,0.026413717621306104,3.200000000000003
full,92029,low,2741,93,-0.02604888726742064,0.02728931047063116,3.0
full,92036,low,2741,148,-0.059394381612550166,0.06501276906238598,4.199999999999996
full,92040,low,2741,103,-0.023093761400948556,0.02572053994892375,3.0
full,92054,low,2741,104,-0.030755198832542872,0.0344764684421744,3.6000000000000014
full,92056,low,2741,99,-0.02991608901860635,0.03137541043414812,2.8999999999999986
full,92057,low,2741,92,-0.029624224735497993,0.031083546151039768,2.3999999999999986
full,92058,low,2741,93,-0.029660707770886533,0.031120029186428304,2.3999999999999986
full,92059,low,2741,81,-0.022801897117840208,0.02433418460415907,2.5
full,92061,low,2741,75,-0.019153593578985762,0.020029186428310825,3.0
full,92064,low,2741,94,-0.023458591754834005,0.02542867566581539,3.200000000000003
full,92065,low,2741,93,-0.024370667639547615,0.02765414082451661,2.9000000000000057
full,92069,low,2741,98,-0.030025538124771975,0.03148485954031375,4.899999999999999
full,92071,low,2741,94,-0.026450200656694626,0.028493250638453118,3.5
full,92075,low,2741,119,-0.04002188982123313,0.04396205764319591,7.0
full,92078,low,2741,101,-0.03363735862823788,0.03553447646844218,5.399999999999999
full,92081,low,2741,98,-0.030025538124771975,0.03148485954031375,4.899999999999999
full,92082,low,2741,76,-0.01908062750820869,0.020029186428310846,3.0
full,92083,low,2741,95,-0.029514775629332364,0.030974097044874135,4.899999999999999
full,92084,low,2741,98,-0.02977015687705218,0.031156512221816857,4.899999999999999
full,92101,low,2741,125,-0.034914264866836915,0.04133527909522073,6.700000000000003
full,92102,low,2741,122,-0.033746807734403535,0.03812477198102885,6.5
full,92103,low,2741,128,-0.03513316307916819,0.041627143378329075,6.700000000000003
full,92105,low,2741,121,-0.033783290769792036,0.03808828894564028,6.5
full,92108,low,2741,107,-0.0334914264866837,0.03662896753009852,6.299999999999997
full,92110,low,2741,122,-0.03593578985771615,0.04126231302444363,7.0
full,92113,low,2741,121,-0.033783290769792036,0.03808828894564028,6.5
