zip_code,temperature_humidity_complete,precipitation_complete,temperature_grid_latitude,temperature_grid_longitude,target_elevation_m,same_grid_cached,same_grid_and_elevation_cached,primary_all_groups,primary_core_groups
92067,False,True,33.0,-117.2,74.0,False,False,77,22
92069,True,True,33.200005,-117.2,208.0,True,True,3492,410
92070,False,True,33.200005,-116.7,1336.0,False,False,44,7
92071,True,True,32.9,-117.0,122.0,True,True,3806,361
92075,True,True,33.0,-117.3,51.0,True,True,440,44
92078,True,True,33.1,-117.2,302.0,True,True,1752,254
92081,True,True,33.200005,-117.2,123.0,True,True,2429,238
92082,True,True,33.300003,-117.0,547.0,True,True,1303,169
92083,True,True,33.200005,-117.2,100.0,True,True,4386,380
92084,True,True,33.200005,-117.2,329.0,True,True,3420,392
92086,False,True,33.300003,-116.6,1057.0,False,False,39,7
92091,False,True,33.1,-117.2,116.0,True,False,17,4
92093,False,True,32.9,-117.2,107.0,False,False,2,0
92096,False,True,33.1,-117.2,239.0,True,False,4,1
92101,True,True,32.700005,-117.2,9.0,True,True,528,17
92102,True,True,32.700005,-117.1,27.0,True,True,50,3
92103,True,True,32.700005,-117.2,83.0,True,True,68,5
92104,False,True,32.700005,-117.1,103.0,True,False,28,4
92105,True,True,32.700005,-117.1,96.0,True,True,66,2
92106,False,False,32.700005,-117.2,16.0,True,False,13,0
92107,False,True,32.700005,-117.2,59.0,True,False,20,1
92108,True,True,32.800003,-117.1,30.0,True,True,57,4
92109,False,True,32.800003,-117.2,12.0,True,False,32,1
92110,True,True,32.800003,-117.2,7.0,True,True,170,1
92111,False,True,32.800003,-117.2,96.0,True,False,43,2
92113,True,True,32.700005,-117.1,11.0,True,True,76,2
92114,True,True,32.700005,-117.1,113.0,True,True,102,4
92115,True,True,32.800003,-117.1,136.0,True,True,58,2
92116,False,True,32.800003,-117.1,123.0,True,False,6,0
92117,False,True,32.800003,-117.2,102.0,True,False,16,1
92118,False,True,32.700005,-117.2,4.0,True,False,12,0
92119,False,True,32.800003,-117.0,355.0,True,False,13,4
92120,False,True,32.800003,-117.1,101.0,True,False,22,2
92121,False,True,32.9,-117.2,87.0,False,False,32,1
92122,False,True,32.9,-117.2,101.0,False,False,15,0
92123,True,True,32.800003,-117.1,126.0,True,True,102,3
92124,False,True,32.800003,-117.1,157.0,True,False,11,0
92126,False,True,32.9,-117.1,133.0,False,False,38,6
92127,True,True,33.0,-117.1,160.0,True,True,115,50
92128,False,True,33.0,-117.1,254.0,True,False,35,3
92129,False,True,33.0,-117.1,174.0,True,False,12,1
92130,False,True,32.9,-117.2,47.0,False,False,18,2
92131,False,True,32.9,-117.0,233.0,True,False,5,0
92132,False,True,32.700005,-117.2,4.0,True,False,0,0
92134,False,True,32.700005,-117.1,68.0,True,False,0,0
92135,False,True,32.700005,-117.2,5.0,True,False,0,0
92136,False,True,32.700005,-117.1,6.0,True,False,5,1
92139,False,True,32.700005,-117.0,85.0,True,False,26,2
92140,False,True,32.700005,-117.2,4.0,True,False,0,0
92145,False,True,32.9,-117.1,137.0,False,False,1,0
92154,True,True,32.6,-117.0,156.0,True,True,430,8
92155,False,True,32.700005,-117.2,0.0,True,False,0,0
92161,False,True,32.9,-117.2,105.0,False,False,2,1
92173,True,True,32.6,-117.1,18.0,True,True,176,3
92179,False,True,32.6,-116.899994,180.0,False,False,1,0
92182,False,True,32.800003,-117.1,127.0,True,False,0,0
