outcome,temperature_f,reference_f,count_ratio,ci95_low,ci95_high,within_pooled_1_99pct,interval
all,50.4,70,0.9953902231922136,0.908416400645305,1.0906911144743934,True,pointwise nominal 95%; exploratory
all,95.11874999999999,70,1.0347136861400588,0.9480838779887795,1.129259169090331,True,pointwise nominal 95%; exploratory
all,95.715,70,1.035262621381008,0.9459963949754151,1.1329521982549733,True,pointwise nominal 95%; exploratory
all,96.31125,70,1.0358118478425173,0.9438962183494181,1.1366781254904383,True,pointwise nominal 95%; exploratory
all,96.9075,70,1.036361365679084,0.9417849419509786,1.1404353928692583,True,pointwise nominal 95%; exploratory
all,97.50375,70,1.0369111750452884,0.9396639880903201,1.1442226142122351,True,pointwise nominal 95%; exploratory
all,98.1,70,1.0374612760957926,0.9375346286999412,1.1480385539367524,True,pointwise nominal 95%; exploratory
core,50.4,70,0.9503652278466103,0.8032180937086655,1.1244692735066002,True,pointwise nominal 95%; exploratory
core,50.996249999999996,70,0.9497595912970009,0.8080544812020645,1.11631492955619,True,pointwise nominal 95%; exploratory
core,51.5925,70,0.9491543406996755,0.8128848635894552,1.1082676069166288,True,pointwise nominal 95%; exploratory
core,52.18875,70,0.9485494758086793,0.8177040747088316,1.1003321811467093,True,pointwise nominal 95%; exploratory
core,52.785,70,0.9479449963782144,0.8225059996997214,1.0925144819448753,True,pointwise nominal 95%; exploratory
core,53.38125,70,0.9473409021626392,0.8272833703415529,1.0848214977895654,True,pointwise nominal 95%; exploratory
core,53.9775,70,0.9467371929164692,0.8320275100623267,1.077261630909552,True,pointwise nominal 95%; exploratory
core,54.57375,70,0.9461338683943757,0.836728015680674,1.069845015521191,True,pointwise nominal 95%; exploratory
core,55.17,70,0.9455309283511871,0.8413723601225574,1.0625839150913279,True,pointwise nominal 95%; exploratory
core,55.76625,70,0.9449288200683057,0.8459456217905498,1.055493937193937,True,pointwise nominal 95%; exploratory
core,56.3625,70,0.9443414045753521,0.8504370595921177,1.0486145662832005,True,pointwise nominal 95%; exploratory
core,56.958749999999995,70,0.9437979241901027,0.854843998042519,1.0420082772356807,True,pointwise nominal 95%; exploratory
core,57.555,70,0.9433284087803733,0.8591666522287041,1.0357344346452058,True,pointwise nominal 95%; exploratory
core,58.15125,70,0.9429628418995368,0.863408802843652,1.02984694883203,True,pointwise nominal 95%; exploratory
core,58.7475,70,0.9427311891153195,0.8675790567901551,1.0243932100193007,True,pointwise nominal 95%; exploratory
core,59.34375,70,0.9426634358839597,0.8716922734823577,1.0194129056606087,True,pointwise nominal 95%; exploratory
core,59.94,70,0.9427896349962519,0.8757710907161594,1.0149367857410196,True,pointwise nominal 95%; exploratory
core,60.0,70,0.9428142436039579,0.876180782134599,1.0145151732008093,True,pointwise nominal 95%; exploratory
core,60.536249999999995,70,0.9431399636600934,0.8798474389531123,1.0109854864283638,True,pointwise nominal 95%; exploratory
core,61.13249999999999,70,0.9437447903309184,0.8839638923715831,1.0075685635611389,True,pointwise nominal 95%; exploratory
core,61.72875,70,0.9446347514570027,0.8881746846796852,1.0046839085287016,True,pointwise nominal 95%; exploratory
core,62.324999999999996,70,0.9458408383713298,0.8925462332859385,1.0023177043024714,True,pointwise nominal 95%; exploratory
core,62.92125,70,0.9473944946358952,0.897157074920407,1.0004450207852753,True,pointwise nominal 95%; exploratory
core,63.5175,70,0.9493277242284766,0.9020972115941491,0.999031053866372,True,pointwise nominal 95%; exploratory
core,64.11375,70,0.9516732110566727,0.9074669733578011,0.9980329061362114,True,pointwise nominal 95%; exploratory
core,64.71,70,0.9544644503901917,0.9133755901654169,0.9974017226513175,True,pointwise nominal 95%; exploratory
core,65.30624999999999,70,0.9577358929209586,0.9199397001886573,0.9970849615480216,True,pointwise nominal 95%; exploratory
core,65.9025,70,0.9615231022927968,0.9272819901612471,0.9970286127114321,True,pointwise nominal 95%; exploratory
core,66.49875,70,0.9658581422747168,0.9355212747592094,0.997178766713219,True,pointwise nominal 95%; exploratory
core,67.095,70,0.9707189699414253,0.9446751709285598,0.9974807718063778,True,pointwise nominal 95%; exploratory
core,67.69125,70,0.9760480556050947,0.9546845125905794,0.9978896633248752,True,pointwise nominal 95%; exploratory
core,68.2875,70,0.9817865956706554,0.9654755924204215,0.9983731613785194,True,pointwise nominal 95%; exploratory
core,68.88374999999999,70,0.9878748101567604,0.9769629578785036,0.998908538622013,True,pointwise nominal 95%; exploratory
core,69.47999999999999,70,0.9942516981186923,0.9890505888132477,0.9994801584396594,True,pointwise nominal 95%; exploratory
core,70.0,70,1.0,1.0,1.0,True,pointwise nominal 95%; exploratory
core,70.07625,70,1.0008548305492209,1.00007757338741,1.0016326917928666,True,pointwise nominal 95%; exploratory
core,70.6725,70,1.0076201819681647,1.0006940264138395,1.0145942758827644,True,pointwise nominal 95%; exploratory
core,71.26875,70,1.014482002254179,1.0013252317230146,1.0278116443013359,True,pointwise nominal 95%; exploratory
core,71.865,70,1.0213727305450426,1.0019683378093278,1.0411529140550098,True,pointwise nominal 95%; exploratory
