specification,label,outcome,outcome_column,temperature_column,status,event_count,zip_days,calendar_span_days,dates_with_model_rows,zips,initial_zip_days,zero_only_zips_dropped,zero_count_zip_days,separated_zero_rows_removed,redundant_annual_columns_removed,parameters,iterations,max_abs_score,max_implied_coefficient_step,pearson_dispersion,observed_zero_fraction,poisson_expected_zero_fraction,daily_residual_acf1,daily_residual_acf7,hac_lag_days,elapsed_hours_offset,sample_sha256,coefficient_log_count,standard_error,count_ratio,ci95_low,ci95_high,percent_change,two_sided_p,joint_temperature_wald,joint_temperature_df,joint_temperature_p,nonlinearity_wald,nonlinearity_df,nonlinearity_p
R9,Civil-day duration offset,all,eligible_all_count,temp_high_f,ok,57903,93504,1461,1461,64,93504,0,64772,0,0,118,9,1.3412881916252672e-12,3.2588856981062957e-16,1.4543904781092951,0.6927190280629706,0.6663875001926626,0.04952299231219656,-0.042011960583661995,7,True,185d585cadc0f276437a88344eedf484ff1058cf81dbed515165c20b9cbfdc83,0.01886653740310823,0.00975529432487433,1.019045635064442,0.9997465439931686,1.038717275476761,1.9045635064441986,0.05311567155593304,,,,,,
R00,Original weather on the same revised ZIP sample,core,core_count,legacy_temp_high_f,ok,6501,92043,1461,1461,63,93504,1,86181,0,0,117,11,4.479567758397529e-13,1.2118644259018137e-15,1.0312018788204418,0.9363123757374271,0.9361674877678504,-0.03309707612652346,0.0005051606718296645,7,False,6ff50e43d35f7c56e53b29503ebafb878850cd5d598449e03d3642f871fd7a62,0.02698972671247923,0.02012707715729346,1.0273572483728763,0.987618667674337,1.068694781022833,2.735724837287626,0.1799314826695535,,,,,,
R0,Corrected civil-day reference,core,core_count,temp_high_f,ok,6501,92043,1461,1461,63,93504,1,86181,0,0,117,11,9.001861756008367e-13,6.129969641383247e-16,1.0312028443319508,0.9363123757374271,0.9361674920833584,-0.03310043851120139,0.0005027961202838864,7,False,6ff50e43d35f7c56e53b29503ebafb878850cd5d598449e03d3642f871fd7a62,0.027036287566484397,0.02012001448369951,1.0274050841173568,0.987678325040895,1.068729747437241,2.7405084117356813,0.17902895181791678,,,,,,
R1,Previous civil-day maximum,core,core_count,prior_day_high_f,ok,6501,92043,1461,1461,63,93504,1,86181,0,0,117,11,7.621960788212201e-13,7.765317281764697e-16,1.0318029495040175,0.9363123757374271,0.9361690699559926,-0.03278981097527175,0.0010047680674129516,7,False,6ff50e43d35f7c56e53b29503ebafb878850cd5d598449e03d3642f871fd7a62,0.040559105523899366,0.02012236950382181,1.0413928599540923,1.0011206134313475,1.083285144880032,4.139285995409225,0.04383944021287569,,,,,,
R2,Weather and holiday controls,core,core_count,temp_high_f,ok,6501,92043,1461,1461,63,93504,1,86181,0,0,120,11,2.4902978984497892e-12,1.2134103538373276e-15,1.0341607996556423,0.9363123757374271,0.9361751820107005,-0.037334529515816554,0.0034664890259633262,7,False,6ff50e43d35f7c56e53b29503ebafb878850cd5d598449e03d3642f871fd7a62,0.039462714849279254,0.028758681679557224,1.0402517122200015,0.9832387931619863,1.1005705148152831,4.025171222000149,0.17000062433877106,,,,,,
R3,ZIP-specific annual seasonality,core,core_count,temp_high_f,ok,6501,89125,1461,1461,63,93504,1,83263,2918,4,239,13,4.723805981793339e-13,1.1953471162197508e-14,0.9651390635541787,0.9342272089761571,0.9341149231390432,-0.034879283246147356,-0.0005362859472146949,7,False,845e99ca6be8f64f446cf3f5cfa2a5463be35a0ea0c8d7825b4b111d054ce53d,0.03090579366960108,0.021147864496562363,1.0313883359993288,0.9895121262443425,1.0750367493452901,3.138833599932879,0.14390175169376726,,,,,,
R4,Exclude warrant co-charges,core,strict_core,temp_high_f,ok,6435,92043,1461,1461,63,93504,1,86234,0,0,117,10,1.2043011986956342e-12,1.9968597184229605e-15,1.0322070312510279,0.9368881935617048,0.9367600647421728,-0.04100405486792057,0.0016478763120515944,7,False,6ff50e43d35f7c56e53b29503ebafb878850cd5d598449e03d3642f871fd7a62,0.024469309093662125,0.019870590669109865,1.0247711394695023,0.9856279453431562,1.0654688650533337,2.4771139469502246,0.21816081020039302,,,,,,
R5,Combined controls and warrant exclusion,core,strict_core,temp_high_f,ok,6435,89125,1461,1461,63,93504,1,83316,2918,4,242,13,5.909358072320181e-12,4.1247903472292314e-15,0.9694315674770111,0.9348218793828892,0.9347354122376126,-0.04716518092995841,0.002340059446073488,7,False,845e99ca6be8f64f446cf3f5cfa2a5463be35a0ea0c8d7825b4b111d054ce53d,0.04731517055647477,0.03009494111831431,1.0484523983382592,0.9883979982107356,1.1121556635800438,4.845239833825912,0.11590491401432794,,,,,,
R6,"Nonlinear temperature, combined specification",core,strict_core,temp_high_f,ok,6435,89125,1461,1461,63,93504,1,83316,2918,4,244,13,5.278734047098332e-12,3.424165946808318e-15,0.9693917254687786,0.9348218793828892,0.9347373594620827,-0.04818099254210399,0.001861134768348694,7,False,845e99ca6be8f64f446cf3f5cfa2a5463be35a0ea0c8d7825b4b111d054ce53d,,,,,,,,4.873276339045224,3.0,0.18131515743116944,2.3252511737374006,2.0,0.3126641752783433
R7,"Paired station sample, ERA5-Land maximum",core,strict_core,temp_high_f,ok,3809,63936,1461,1461,46,66829,0,60470,2893,4,191,13,9.799903943896737e-13,2.2628894703273024e-15,0.951300316543643,0.9457895395395396,0.9455497232156503,-0.029152717047898406,-0.06892756166982851,7,False,6ba51516c394fd3cf269ecbb8063ff6e45cb22bc62dfd1d048fc8af2b226e162,0.0632927518352589,0.04314499492153425,1.0653386734358812,0.9789547243797957,1.1593452290014268,6.533867343588113,0.14238208128665406,,,,,,
R8,"Paired station sample, NOAA maximum",core,strict_core,noaa_high_f,ok,3809,63936,1461,1461,46,66829,0,60470,2893,4,191,13,2.4963971861913237e-12,4.8494250908967555e-15,0.9490226050158791,0.9457895395395396,0.945547566522596,-0.02523074499073966,-0.06701271603411399,7,False,6ba51516c394fd3cf269ecbb8063ff6e45cb22bc62dfd1d048fc8af2b226e162,-0.021361486344349517,0.036356007290502236,0.9788650542563662,0.9115416871369453,1.0511606961760018,-2.1134945743633833,0.5568248833354585,,,,,,
R9,Civil-day duration offset,core,core_count,temp_high_f,ok,6501,92043,1461,1461,63,93504,1,86181,0,0,117,11,7.370521293986743e-13,1.041279845933531e-15,1.0314065292748262,0.9363123757374271,0.9361675474352438,-0.0333071773169287,-0.00011573844981771443,7,True,6ff50e43d35f7c56e53b29503ebafb878850cd5d598449e03d3642f871fd7a62,0.027020132860477646,0.02011725726231926,1.0273884868243357,0.9876677069125992,1.0687067071968204,2.738848682433561,0.1792292213128157,,,,,,
