zip_code,station,station_name,distance_km,absolute_elevation_difference_m,modeled,matched_zip_days,mean_modeled_minus_observed_f,mean_absolute_difference_f,rmse_f,correlation
91977,USC00042706,EL CAJON,10.330068679114452,130.1,civil_high_f,1461,-7.863846680355921,7.875564681724846,8.288264680669759,0.9755021579425053
92003,USC00049378,VISTA,6.412703429481017,41.099999999999994,legacy_high_f,1460,1.1570547945205474,3.287082191780822,4.072446641005333,0.9425787406913991
92003,USC00049378,VISTA,6.412703429481017,41.099999999999994,civil_high_f,1460,1.1559589041095888,3.2881780821917808,4.073684643580362,0.9425690569525275
92004,USC00046386,OCOTILLO WELLS 2W,4.717117148350011,27.900000000000006,legacy_high_f,1461,-5.183956194387406,5.210513347022587,5.563478296870906,0.9922326240532147
92004,USC00046386,OCOTILLO WELLS 2W,4.717117148350011,27.900000000000006,civil_high_f,1461,-5.185598904859685,5.21119780971937,5.564508682610722,0.9922456698105311
92007,USW00003177,CARLSBAD MCCLELLAN PALOMAR AP,11.892987005719492,35.400000000000006,legacy_high_f,1436,-0.6909470752089137,2.427493036211699,3.183761199594682,0.9078842879859613
92007,USW00003177,CARLSBAD MCCLELLAN PALOMAR AP,11.892987005719492,35.400000000000006,civil_high_f,1436,-0.6909470752089137,2.427493036211699,3.18383644125757,0.9078811998161262
92008,USW00003177,CARLSBAD MCCLELLAN PALOMAR AP,3.7179185530317373,92.4,legacy_high_f,1436,3.0266713091922006,4.087674094707521,5.219076829540473,0.897190780724439
92008,USW00003177,CARLSBAD MCCLELLAN PALOMAR AP,3.7179185530317373,92.4,civil_high_f,1436,3.026323119777159,4.088022284122562,5.219428404440546,0.8971783037367498
92009,USW00003177,CARLSBAD MCCLELLAN PALOMAR AP,4.795117881863898,13.599999999999994,legacy_high_f,1436,2.24658774373259,3.8568105849582173,4.78694048055179,0.89547150346176
92009,USW00003177,CARLSBAD MCCLELLAN PALOMAR AP,4.795117881863898,13.599999999999994,civil_high_f,1436,2.24658774373259,3.8568105849582173,4.78694048055179,0.89547150346176
92010,USW00003177,CARLSBAD MCCLELLAN PALOMAR AP,3.961927218897642,6.400000000000006,legacy_high_f,1436,2.0266713091922,3.7501253481894152,4.710140160787345,0.897190780724439
92011,USW00003177,CARLSBAD MCCLELLAN PALOMAR AP,3.1811442713286415,8.400000000000006,legacy_high_f,1436,2.0463788300835652,3.7566295264623957,4.719748234633781,0.8971453660400956
92011,USW00003177,CARLSBAD MCCLELLAN PALOMAR AP,3.1811442713286415,8.400000000000006,civil_high_f,1436,2.046100278551532,3.756908077994429,4.72011531420443,0.8971354806763797
92019,USC00042706,EL CAJON,5.824803920712067,5.900000000000006,legacy_high_f,1461,-2.4205886379192334,2.888377823408624,3.392548826882071,0.9761017176422191
92019,USC00042706,EL CAJON,5.824803920712067,5.900000000000006,civil_high_f,1461,-2.420520191649555,2.888309377138946,3.392700744775506,0.9760959923084502
92020,USC00042706,EL CAJON,3.9327647554807825,18.900000000000006,legacy_high_f,1461,-4.6049828884325805,4.69905544147844,5.145790408891349,0.9774365039644639
92020,USC00042706,EL CAJON,3.9327647554807825,18.900000000000006,civil_high_f,1461,-4.6049828884325805,4.69905544147844,5.145906129859988,0.9774297047010435
