zip_code,station,station_name,distance_km,absolute_elevation_difference_m,eligible_station_match,station_network
92127,USC00042863,ESCONDIDO #2,11.81439810413328,22.900000000000006,True,original_six_current_archive
92128,USC00042863,ESCONDIDO #2,13.893807040267774,71.1,True,original_six_current_archive
92129,USC00042863,ESCONDIDO #2,17.842652311656675,8.900000000000006,True,original_six_current_archive
92130,USW00003177,CARLSBAD MCCLELLAN PALOMAR AP,21.32050496465148,48.400000000000006,True,original_six_current_archive
92131,USW00053120,RAMONA AP,19.665284790529196,189.10000000000002,True,original_six_current_archive
92132,USW00023188,SAN DIEGO INTL AP,2.4455736794196703,0.5999999999999996,True,original_six_current_archive
92134,USW00023188,SAN DIEGO INTL AP,3.65090051079759,63.4,True,original_six_current_archive
92135,USW00023188,SAN DIEGO INTL AP,4.421969906183615,0.40000000000000036,True,original_six_current_archive
92136,USW00023188,SAN DIEGO INTL AP,7.955102002547787,1.4000000000000004,True,original_six_current_archive
92139,USW00023188,SAN DIEGO INTL AP,13.898787721660627,80.4,True,original_six_current_archive
92140,USW00023188,SAN DIEGO INTL AP,1.6116627622412902,0.5999999999999996,True,original_six_current_archive
92145,USW00023188,SAN DIEGO INTL AP,15.457022950857672,132.4,True,original_six_current_archive
92154,USW00023188,SAN DIEGO INTL AP,26.574558457106995,151.4,False,original_six_current_archive
92155,USW00023188,SAN DIEGO INTL AP,8.742969047508945,4.6,True,original_six_current_archive
92161,USW00023188,SAN DIEGO INTL AP,16.26325695190208,100.4,True,original_six_current_archive
92173,USW00023188,SAN DIEGO INTL AP,23.331672306292518,13.4,True,original_six_current_archive
92179,USW00023188,SAN DIEGO INTL AP,28.69080978813961,175.4,False,original_six_current_archive
92182,USW00023188,SAN DIEGO INTL AP,11.17273997921065,122.4,True,original_six_current_archive
91901,USC00040136,ALPINE,5.326770242208588,80.39999999999998,True,expanded_ghcn
91902,USC00041758,CHULA VISTA,8.325374073756853,57.9,True,expanded_ghcn
91905,USC00041424,CAMPO,16.286364638334078,357.4,False,expanded_ghcn
91906,USC00041424,CAMPO,3.5644992963138855,170.39999999999998,True,expanded_ghcn
91910,USC00041758,CHULA VISTA,2.27424029850693,28.9,True,expanded_ghcn
91911,USC00041758,CHULA VISTA,4.918829180221884,56.9,True,expanded_ghcn
91913,USW00003178,SAN DIEGO BROWN FLD,5.277714230995219,20.80000000000001,True,expanded_ghcn
91914,USW00003178,SAN DIEGO BROWN FLD,10.69963022873447,53.19999999999999,True,expanded_ghcn
91915,USW00003178,SAN DIEGO BROWN FLD,6.731722987395373,3.1999999999999886,True,expanded_ghcn
91916,USC00042239,CUYAMACA,9.694919998886258,379.29999999999995,False,expanded_ghcn
91917,USC00040136,ALPINE,21.664043834337306,115.39999999999998,True,expanded_ghcn
91931,USC00045968,MT LAGUNA #3,15.386643471534557,478.4000000000001,False,expanded_ghcn
91932,USC00041758,CHULA VISTA,8.726724147148776,10.100000000000001,True,expanded_ghcn
91934,USC00041424,CAMPO,29.8296164738426,242.39999999999998,False,expanded_ghcn
91935,USC00040136,ALPINE,15.730285672609293,275.4,False,expanded_ghcn
91941,USC00042706,EL CAJON,7.919885189553237,18.099999999999994,True,expanded_ghcn
91942,USC00042706,EL CAJON,9.094246748482762,18.099999999999994,True,expanded_ghcn
91945,USC00041758,CHULA VISTA,11.433119453398177,110.9,True,expanded_ghcn
91948,USC00045968,MT LAGUNA #3,5.015679978339041,196.4000000000001,True,expanded_ghcn
91950,USC00041758,CHULA VISTA,3.311251799707135,10.899999999999999,True,expanded_ghcn
91962,USC00045968,MT LAGUNA #3,9.647101175493217,608.4000000000001,False,expanded_ghcn
91963,USC00041424,CAMPO,12.072038406945525,47.39999999999998,True,expanded_ghcn
91977,USC00042706,EL CAJON,10.330068679114452,130.1,True,expanded_ghcn
91978,USC00042706,EL CAJON,11.309349954900425,519.1,False,expanded_ghcn
91980,USC00041424,CAMPO,15.899778499793033,226.60000000000002,False,expanded_ghcn
92003,USC00049378,VISTA,6.412703429481017,41.099999999999994,True,expanded_ghcn
92004,USC00046386,OCOTILLO WELLS 2W,4.717117148350011,27.900000000000006,True,expanded_ghcn
92007,USW00003177,CARLSBAD MCCLELLAN PALOMAR AP,11.892987005719492,35.400000000000006,True,expanded_ghcn
92008,USW00003177,CARLSBAD MCCLELLAN PALOMAR AP,3.7179185530317373,92.4,True,expanded_ghcn
92009,USW00003177,CARLSBAD MCCLELLAN PALOMAR AP,4.795117881863898,13.599999999999994,True,expanded_ghcn
92010,USW00003177,CARLSBAD MCCLELLAN PALOMAR AP,3.961927218897642,6.400000000000006,True,expanded_ghcn
