month,agency,domestic_violence_incident,source_rows,distinct_incidents,distinct_offense_ids,distinct_arrest_numbers
2023-05,CARLSBAD,,43,42,43,43
2023-05,CHULA VISTA,,66,66,66,66
2023-05,EL CAJON,,160,103,160,160
2023-05,ESCONDIDO,,134,131,134,134
2023-05,HARBOR POLICE,,31,31,31,31
2023-05,LA MESA,,47,47,47,47
2023-05,NATIONAL CITY,,30,30,30,30
2023-05,OCEANSIDE,,96,96,96,96
2023-05,SAN DIEGO,,741,729,739,739
2023-05,SHERIFF,,390,387,390,390
2023-06,CARLSBAD,,83,79,83,83
2023-06,CHULA VISTA,,84,83,84,84
2023-06,EL CAJON,,116,87,116,116
2023-06,ESCONDIDO,,175,171,175,175
2023-06,HARBOR POLICE,,25,25,25,25
2023-06,LA MESA,,44,44,44,44
2023-06,NATIONAL CITY,,32,32,32,32
2023-06,OCEANSIDE,,75,75,75,75
2023-06,SAN DIEGO,,631,615,630,630
2023-06,SHERIFF,,432,421,431,431
2023-07,CARLSBAD,,60,60,60,60
2023-07,CHULA VISTA,,77,76,77,77
2023-07,EL CAJON,,66,58,66,65
2023-07,ESCONDIDO,,132,129,132,132
2023-07,HARBOR POLICE,,32,32,32,32
2023-07,LA MESA,,52,51,52,52
2023-07,NATIONAL CITY,,34,33,34,34
2023-07,OCEANSIDE,,112,109,112,112
2023-07,SAN DIEGO,,677,658,676,676
2023-07,SHERIFF,,435,428,434,434
2023-08,CARLSBAD,,72,66,72,72
2023-08,CHULA VISTA,,76,74,76,76
2023-08,EL CAJON,,65,61,65,65
2023-08,ESCONDIDO,,137,134,137,137
2023-08,HARBOR POLICE,,29,29,29,29
2023-08,LA MESA,,46,46,46,46
2023-08,NATIONAL CITY,,35,33,35,35
2023-08,OCEANSIDE,,102,102,102,102
2023-08,SAN DIEGO,,627,610,623,622
2023-08,SHERIFF,,525,520,524,524
2023-09,CARLSBAD,,76,70,76,76
2023-09,CHULA VISTA,,81,80,81,81
2023-09,EL CAJON,,49,48,49,49
2023-09,ESCONDIDO,,149,146,149,149
2023-09,HARBOR POLICE,,29,29,29,29
2023-09,LA MESA,,52,52,52,52
2023-09,NATIONAL CITY,,32,32,32,32
2023-09,OCEANSIDE,,115,115,115,115
2023-09,SAN DIEGO,,546,528,544,544
2023-09,SHERIFF,,519,505,517,517
2023-10,CARLSBAD,,52,52,52,52
2023-10,CHULA VISTA,,71,71,71,71
2023-10,EL CAJON,,92,79,92,92
2023-10,ESCONDIDO,,162,155,162,162
2023-10,HARBOR POLICE,,25,25,25,25
2023-10,LA MESA,,46,46,46,46
2023-10,NATIONAL CITY,,25,24,25,25
2023-10,OCEANSIDE,,75,75,75,75
2023-10,SAN DIEGO,,601,594,601,600
2023-10,SHERIFF,,573,568,573,572
2023-11,CARLSBAD,,65,65,65,65
2023-11,CHULA VISTA,,92,90,92,92
2023-11,EL CAJON,,72,59,72,72
2023-11,ESCONDIDO,,150,147,150,150
2023-11,HARBOR POLICE,,30,30,30,30
2023-11,LA MESA,,41,41,41,41
2023-11,NATIONAL CITY,,49,43,49,49
2023-11,OCEANSIDE,,90,89,90,90
2023-11,SAN DIEGO,,647,639,645,645
2023-11,SHERIFF,,477,468,476,476
2023-12,CARLSBAD,,74,73,74,74
2023-12,CHULA VISTA,,87,86,87,87
2023-12,EL CAJON,,70,63,69,69
2023-12,ESCONDIDO,,147,145,147,147
2023-12,HARBOR POLICE,,39,39,39,39
2023-12,LA MESA,,51,51,51,51
2023-12,NATIONAL CITY,,48,45,48,48
2023-12,OCEANSIDE,,84,83,84,84
2023-12,SAN DIEGO,,573,570,573,573
2023-12,SHERIFF,,453,451,453,453
2024-01,CARLSBAD,,58,57,58,58
2024-01,CHULA VISTA,,59,59,59,59
2024-01,EL CAJON,,87,71,87,87
2024-01,ESCONDIDO,,141,139,141,141
2024-01,HARBOR POLICE,,35,35,35,35
2024-01,LA MESA,,50,50,50,50
2024-01,NATIONAL CITY,,27,26,27,27
2024-01,OCEANSIDE,,89,88,89,89
2024-01,SAN DIEGO,,608,596,607,606
2024-01,SHERIFF,,510,504,509,509
2024-02,CARLSBAD,,62,62,62,62
2024-02,CHULA VISTA,,69,67,69,69
2024-02,EL CAJON,,78,65,78,77
2024-02,ESCONDIDO,,133,130,133,133
2024-02,HARBOR POLICE,,30,30,30,30
2024-02,LA MESA,,49,49,49,49
2024-02,NATIONAL CITY,,36,36,36,36
2024-02,OCEANSIDE,,66,66,66,66
2024-02,SAN DIEGO,,581,570,578,578
