date,agency,domestic_violence_incident,source_rows,distinct_incidents,distinct_offense_ids,distinct_arrest_numbers
2021-01-27,ESCONDIDO,,2,2,2,2
2021-01-27,HARBOR POLICE,,1,1,1,1
2021-01-27,OCEANSIDE,,1,1,1,1
2021-01-27,SAN DIEGO,,19,15,19,19
2021-01-27,SHERIFF,,9,9,9,9
2021-01-28,CARLSBAD,,3,3,3,3
2021-01-28,EL CAJON,,1,1,1,1
2021-01-28,ESCONDIDO,,4,4,4,4
2021-01-28,NATIONAL CITY,,1,1,1,1
2021-01-28,OCEANSIDE,,4,4,4,4
2021-01-28,SAN DIEGO,,13,13,13,13
2021-01-28,SHERIFF,,12,12,12,12
2021-01-29,CARLSBAD,,2,1,2,2
2021-01-29,CHULA VISTA,,1,1,1,1
2021-01-29,ESCONDIDO,,4,4,4,4
2021-01-29,HARBOR POLICE,,2,2,2,2
2021-01-29,LA MESA,,2,2,2,2
2021-01-29,NATIONAL CITY,,2,2,2,2
2021-01-29,OCEANSIDE,,4,4,4,4
2021-01-29,SAN DIEGO,,15,14,15,15
2021-01-29,SHERIFF,,12,10,12,12
2021-01-30,CARLSBAD,,1,1,1,1
2021-01-30,CHULA VISTA,,2,2,2,2
2021-01-30,EL CAJON,,3,3,3,3
2021-01-30,ESCONDIDO,,3,2,3,3
2021-01-30,HARBOR POLICE,,3,3,3,3
2021-01-30,LA MESA,,1,1,1,1
2021-01-30,NATIONAL CITY,,3,3,3,3
2021-01-30,OCEANSIDE,,2,2,2,2
2021-01-30,SAN DIEGO,,19,17,19,19
2021-01-30,SHERIFF,,11,11,11,11
2021-01-31,CARLSBAD,,4,4,4,4
2021-01-31,CHULA VISTA,,1,1,1,1
2021-01-31,EL CAJON,,2,2,2,2
2021-01-31,ESCONDIDO,,6,6,6,6
2021-01-31,HARBOR POLICE,,1,1,1,1
2021-01-31,NATIONAL CITY,,1,1,1,1
2021-01-31,OCEANSIDE,,3,3,3,3
2021-01-31,SAN DIEGO,,16,16,16,16
2021-01-31,SHERIFF,,11,11,11,11
2021-02-01,CARLSBAD,,3,3,3,3
2021-02-01,CHULA VISTA,,1,1,1,1
2021-02-01,EL CAJON,,5,5,5,5
2021-02-01,ESCONDIDO,,3,3,3,3
2021-02-01,LA MESA,,2,2,2,2
2021-02-01,OCEANSIDE,,8,6,8,8
2021-02-01,SAN DIEGO,,15,15,15,15
2021-02-01,SHERIFF,,9,9,9,9
2021-02-02,CARLSBAD,,2,2,2,2
2021-02-02,CHULA VISTA,,1,1,1,1
2021-02-02,EL CAJON,,3,3,3,3
2021-02-02,ESCONDIDO,,3,3,3,3
2021-02-02,HARBOR POLICE,,2,2,2,2
2021-02-02,NATIONAL CITY,,2,2,2,2
2021-02-02,OCEANSIDE,,2,2,2,2
2021-02-02,SAN DIEGO,,14,14,14,14
2021-02-02,SHERIFF,,8,8,8,8
2021-02-03,CARLSBAD,,2,2,2,2
2021-02-03,CHULA VISTA,,1,1,1,1
2021-02-03,EL CAJON,,1,1,1,1
2021-02-03,ESCONDIDO,,2,2,2,2
2021-02-03,HARBOR POLICE,,1,1,1,1
2021-02-03,LA MESA,,2,2,2,2
2021-02-03,NATIONAL CITY,,4,4,4,4
2021-02-03,OCEANSIDE,,3,3,3,3
2021-02-03,SAN DIEGO,,18,18,18,18
2021-02-03,SHERIFF,,17,17,17,17
2021-02-04,CARLSBAD,,3,3,3,3
2021-02-04,EL CAJON,,3,3,3,3
2021-02-04,ESCONDIDO,,4,4,4,4
2021-02-04,LA MESA,,2,2,2,2
2021-02-04,NATIONAL CITY,,2,1,2,2
2021-02-04,OCEANSIDE,,1,1,1,1
2021-02-04,SAN DIEGO,,19,19,19,19
2021-02-04,SHERIFF,,15,15,15,15
2021-02-05,CARLSBAD,,2,2,2,2
2021-02-05,CHULA VISTA,,1,1,1,1
2021-02-05,EL CAJON,,1,1,1,1
2021-02-05,ESCONDIDO,,5,5,5,5
2021-02-05,HARBOR POLICE,,1,1,1,1
2021-02-05,SAN DIEGO,,17,17,17,17
2021-02-05,SHERIFF,,13,13,13,13
2021-02-06,CARLSBAD,,2,2,2,2
2021-02-06,CHULA VISTA,,2,2,2,2
2021-02-06,EL CAJON,,2,2,2,2
2021-02-06,ESCONDIDO,,2,2,2,2
2021-02-06,HARBOR POLICE,,2,2,2,2
2021-02-06,NATIONAL CITY,,2,2,2,2
2021-02-06,OCEANSIDE,,4,4,4,4
2021-02-06,SAN DIEGO,,18,18,18,18
2021-02-06,SHERIFF,,9,8,9,9
2021-02-07,CARLSBAD,,2,2,2,2
2021-02-07,CHULA VISTA,,7,7,7,7
2021-02-07,EL CAJON,,1,1,1,1
2021-02-07,ESCONDIDO,,8,8,8,8
2021-02-07,LA MESA,,4,4,4,4
2021-02-07,NATIONAL CITY,,1,1,1,1
2021-02-07,OCEANSIDE,,3,3,3,3
2021-02-07,SAN DIEGO,,15,15,15,15
2021-02-07,SHERIFF,,6,6,6,6
2021-02-08,CARLSBAD,,4,4,4,4
2021-02-08,EL CAJON,,3,3,3,3
2021-02-08,ESCONDIDO,,3,3,3,3
2021-02-08,LA MESA,,1,1,1,1
2021-02-08,NATIONAL CITY,,2,2,2,2
2021-02-08,OCEANSIDE,,2,2,2,2
2021-02-08,SAN DIEGO,,20,16,20,20
2021-02-08,SHERIFF,,6,6,6,6
2021-02-09,CHULA VISTA,,1,1,1,1
2021-02-09,ESCONDIDO,,1,1,1,1
2021-02-09,NATIONAL CITY,,1,1,1,1
2021-02-09,OCEANSIDE,,3,3,3,3
2021-02-09,SAN DIEGO,,21,21,21,21
2021-02-09,SHERIFF,,8,8,8,8
2021-02-10,CHULA VISTA,,2,2,2,2
2021-02-10,EL CAJON,,3,3,3,3
2021-02-10,ESCONDIDO,,4,4,4,4
2021-02-10,HARBOR POLICE,,1,1,1,1
2021-02-10,LA MESA,,1,1,1,1
2021-02-10,NATIONAL CITY,,3,3,3,3
2021-02-10,OCEANSIDE,,4,4,4,4
2021-02-10,SAN DIEGO,,15,15,15,15
2021-02-10,SHERIFF,,16,16,16,16
2021-02-11,CARLSBAD,,6,6,6,6
2021-02-11,CHULA VISTA,,2,2,2,2
2021-02-11,EL CAJON,,1,1,1,1
2021-02-11,ESCONDIDO,,3,3,3,3
2021-02-11,HARBOR POLICE,,1,1,1,1
2021-02-11,NATIONAL CITY,,3,3,3,3
2021-02-11,OCEANSIDE,,2,2,2,2
2021-02-11,SAN DIEGO,,21,20,21,21
2021-02-11,SHERIFF,,11,11,11,11
2021-02-12,CARLSBAD,,6,6,6,6
2021-02-12,CHULA VISTA,,1,1,1,1
2021-02-12,EL CAJON,,1,1,1,1
2021-02-12,ESCONDIDO,,1,1,1,1
