month,agency,domestic_violence_incident,source_rows,distinct_incidents,distinct_offense_ids
2022-08,CHULA VISTA,False,696,551,633
2022-08,CHULA VISTA,True,126,89,126
2022-08,EL CAJON,False,383,295,352
2022-08,EL CAJON,True,52,43,52
2022-08,ESCONDIDO,False,691,544,637
2022-08,ESCONDIDO,True,79,65,79
2022-08,HARBOR POLICE,False,102,82,96
2022-08,HARBOR POLICE,True,14,12,13
2022-08,LA MESA,False,251,204,235
2022-08,LA MESA,True,55,38,54
2022-08,NATIONAL CITY,False,274,220,240
2022-08,NATIONAL CITY,True,36,27,36
2022-08,OCEANSIDE,False,863,716,818
2022-08,OCEANSIDE,True,59,46,59
2022-08,SAN DIEGO,False,4879,3871,4373
2022-08,SAN DIEGO,True,556,456,549
2022-08,SHERIFF,False,2881,2169,2733
2022-08,SHERIFF,True,377,305,377
2022-09,CARLSBAD,False,343,276,330
2022-09,CARLSBAD,True,30,25,30
2022-09,CHULA VISTA,False,721,545,645
2022-09,CHULA VISTA,True,103,77,103
2022-09,EL CAJON,False,467,357,445
2022-09,EL CAJON,True,52,45,52
2022-09,ESCONDIDO,False,617,480,560
2022-09,ESCONDIDO,True,75,65,75
2022-09,HARBOR POLICE,False,150,119,141
2022-09,HARBOR POLICE,True,7,6,7
2022-09,LA MESA,False,211,160,197
2022-09,LA MESA,True,35,29,35
2022-09,NATIONAL CITY,False,278,227,263
2022-09,NATIONAL CITY,True,39,28,39
2022-09,OCEANSIDE,False,794,648,755
2022-09,OCEANSIDE,True,77,66,75
2022-09,SAN DIEGO,False,4809,3812,4249
2022-09,SAN DIEGO,True,523,457,519
2022-09,SHERIFF,False,2640,2010,2490
2022-09,SHERIFF,True,328,279,327
2022-10,CARLSBAD,False,380,294,371
2022-10,CARLSBAD,True,34,31,34
2022-10,CHULA VISTA,False,727,526,640
2022-10,CHULA VISTA,True,122,94,122
2022-10,EL CAJON,False,422,320,388
2022-10,EL CAJON,True,61,47,61
2022-10,ESCONDIDO,False,669,527,636
2022-10,ESCONDIDO,True,80,67,80
2022-10,HARBOR POLICE,False,159,117,145
2022-10,HARBOR POLICE,True,9,6,9
2022-10,LA MESA,False,262,220,249
2022-10,LA MESA,True,43,29,43
2022-10,NATIONAL CITY,False,292,248,271
2022-10,NATIONAL CITY,True,24,19,24
2022-10,OCEANSIDE,False,688,560,656
2022-10,OCEANSIDE,True,79,71,79
2022-10,SAN DIEGO,False,5325,4241,4699
2022-10,SAN DIEGO,True,531,457,526
2022-10,SHERIFF,False,2827,2137,2678
2022-10,SHERIFF,True,286,239,286
2022-11,CARLSBAD,False,437,341,423
2022-11,CARLSBAD,True,46,32,46
2022-11,CHULA VISTA,False,799,561,677
2022-11,CHULA VISTA,True,110,80,109
2022-11,EL CAJON,False,429,314,398
2022-11,EL CAJON,True,57,49,57
2022-11,ESCONDIDO,False,543,431,504
2022-11,ESCONDIDO,True,74,60,74
2022-11,HARBOR POLICE,False,149,111,139
2022-11,HARBOR POLICE,True,8,7,7
2022-11,LA MESA,False,283,213,257
2022-11,LA MESA,True,45,37,45
2022-11,NATIONAL CITY,False,247,195,230
2022-11,NATIONAL CITY,True,22,16,22
2022-11,OCEANSIDE,False,652,522,616
2022-11,OCEANSIDE,True,65,60,65
2022-11,SAN DIEGO,False,4814,3893,4303
2022-11,SAN DIEGO,True,399,357,398
2022-11,SHERIFF,False,2587,1964,2425
2022-11,SHERIFF,True,302,242,301
2022-12,CARLSBAD,False,406,327,389
2022-12,CARLSBAD,True,33,28,32
2022-12,CHULA VISTA,False,768,571,668
2022-12,CHULA VISTA,True,82,62,82
2022-12,EL CAJON,False,372,280,343
2022-12,EL CAJON,True,64,57,64
2022-12,ESCONDIDO,False,556,431,514
2022-12,ESCONDIDO,True,74,65,74
2022-12,HARBOR POLICE,False,126,102,118
2022-12,HARBOR POLICE,True,2,2,2
2022-12,LA MESA,False,291,222,276
2022-12,LA MESA,True,30,23,30
2022-12,NATIONAL CITY,False,304,246,276
2022-12,NATIONAL CITY,True,25,22,25
2022-12,OCEANSIDE,False,732,588,688
2022-12,OCEANSIDE,True,61,49,61
2022-12,SAN DIEGO,False,5037,4035,4493
2022-12,SAN DIEGO,True,440,380,440
2022-12,SHERIFF,False,2607,1953,2459
2022-12,SHERIFF,True,285,223,284
2023-01,CARLSBAD,False,368,288,352
2023-01,CARLSBAD,True,24,21,24
2023-01,CHULA VISTA,False,787,568,685
2023-01,CHULA VISTA,True,135,93,134
2023-01,EL CAJON,False,368,275,347
2023-01,EL CAJON,True,62,48,62
2023-01,ESCONDIDO,False,558,431,523
2023-01,ESCONDIDO,True,66,59,66
2023-01,HARBOR POLICE,False,134,105,121
2023-01,HARBOR POLICE,True,3,3,3
2023-01,LA MESA,False,262,194,248
2023-01,LA MESA,True,38,33,38
2023-01,NATIONAL CITY,False,261,209,234
2023-01,NATIONAL CITY,True,41,33,41
2023-01,OCEANSIDE,False,680,555,658
2023-01,OCEANSIDE,True,45,40,45
2023-01,SAN DIEGO,False,4964,3982,4410
2023-01,SAN DIEGO,True,484,406,478
2023-01,SHERIFF,False,2635,1986,2462
2023-01,SHERIFF,True,274,233,274
2023-02,CARLSBAD,False,372,290,357
2023-02,CARLSBAD,True,26,25,26
2023-02,CHULA VISTA,False,777,579,680
2023-02,CHULA VISTA,True,112,90,111
