month,group_type,offense_code,offense_description,source_rows
2026-03,B,90C,Disorderly Conduct,179
2026-03,B,90D,Driving Under the Influence,114
2026-03,B,90G,Liquor Law Violations,9
2026-03,B,90J,Trespass of Real Property,21
2026-03,B,90Z,All Other Offenses,1435
2026-04,A,09A,Murder and Nonnegligent Manslaughter,1
2026-04,A,100,Kidnapping/Abduction,19
2026-04,A,11A,Forcible Rape,23
2026-04,A,11B,Forcible Sodomy,1
2026-04,A,11C,Sexual Assault With an Object,2
2026-04,A,11D,Forcible Fondling,22
2026-04,A,120,Robbery,77
2026-04,A,13A,Aggravated Assault,377
2026-04,A,13B,Simple Assault,572
2026-04,A,13C,Intimidation,69
2026-04,A,200,Arson,12
2026-04,A,210,Extortion/Blackmail,6
2026-04,A,220,Burglary/Breaking & Entering,118
2026-04,A,23A,Pocket-Picking,1
2026-04,A,23B,Purse-Snatching,4
2026-04,A,23C,Shoplifting,455
2026-04,A,23D,Theft From Building,17
2026-04,A,23F,Theft From Motor Vehicle,267
2026-04,A,23G,Theft of Motor Vehicle Parts/Accessories,85
2026-04,A,23H,All Other Larceny,575
2026-04,A,240,Motor Vehicle Theft,292
2026-04,A,250,Counterfeiting/Forgery,4
2026-04,A,26A,False Pretenses/Swindle/Confidence Game,38
2026-04,A,26B,Credit Card/Automatic Teller Fraud,6
2026-04,A,26C,Impersonation,225
2026-04,A,26F,Identity Theft,34
2026-04,A,26G,Hacking/Computer Fraud,1
2026-04,A,270,Embezzlement,13
2026-04,A,280,Stolen Property Offenses,49
2026-04,A,290,Destruction/Damage/Vandalism of Property,476
2026-04,A,35A,Drug/narcotic Violations,430
2026-04,A,35B,Drug Equipment Violations,304
2026-04,A,36B,Statutory Rape,2
2026-04,A,370,Pornography/Obscene Material,6
2026-04,A,39C,Gambling Equipment Violations,1
2026-04,A,40A,Prostitution,2
2026-04,A,520,Weapon Law Violations,60
2026-04,A,64A,"Human trafficking, Commercial Sex Acts",5
2026-04,A,720,Animal Cruelty,5
2026-04,B,90B,Curfew/Loitering/Vagrancy Violations,51
2026-04,B,90C,Disorderly Conduct,145
2026-04,B,90D,Driving Under the Influence,113
2026-04,B,90E,Drunkenness,1
2026-04,B,90G,Liquor Law Violations,7
2026-04,B,90H,Peeping Tom,1
2026-04,B,90J,Trespass of Real Property,30
2026-04,B,90Z,All Other Offenses,1366
2026-05,A,09A,Murder and Nonnegligent Manslaughter,10
2026-05,A,09B,Negligent Manslaughter,1
2026-05,A,100,Kidnapping/Abduction,14
2026-05,A,11A,Forcible Rape,28
